id,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,scheduled_delivery_date,delivered_to_client_date,product_group,sub_classification,vendor,item_id,item_description,brand,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd,line_item_insurance_usd
1,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2-Jun-06,2-Jun-06,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,SKU0000,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",Reveal,30,19,551,29,0.97,Ranbaxy Fine Chemicals LTD,13,780.34,
3,Vietnam,PMO - US,Direct Drop,EXW,Air,14-Nov-06,14-Nov-06,ARV,Pediatric,Aurobindo Pharma Limited,SKU0001,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Generic,240,1000,6200,6.2,0.03,"Aurobindo Unit III, India",358,4521.5,
4,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,27-Aug-06,27-Aug-06,HRDT,HIV test,Abbott GmbH & Co. KG,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,100,500,40000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,171,1653.78,
15,Vietnam,PMO - US,Direct Drop,EXW,Air,1-Sep-06,1-Sep-06,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",1855,16007.06,
16,Vietnam,PMO - US,Direct Drop,EXW,Air,11-Aug-06,11-Aug-06,ARV,Adult,Aurobindo Pharma Limited,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,60,38000,121600,3.2,0.05,"Aurobindo Unit III, India",7590,45450.08,
23,Nigeria,PMO - US,Direct Drop,EXW,Air,28-Sep-06,28-Sep-06,ARV,Pediatric,Aurobindo Pharma Limited,SKU0005,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",504,5920.42,
44,Zambia,PMO - US,Direct Drop,DDU,Air,8-Jan-07,8-Jan-07,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),SKU0006,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Stocrin/Sustiva,90,135,4374,32.4,0.36,MSD South Granville Australia,328,Freight Included in Commodity Cost,
45,Tanzania,PMO - US,Direct Drop,EXW,Air,24-Nov-06,24-Nov-06,ARV,Adult,Aurobindo Pharma Limited,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",1478,6212.41,
46,Nigeria,PMO - US,Direct Drop,EXW,Air,7-Dec-06,7-Dec-06,ARV,Adult,Aurobindo Pharma Limited,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),
47,Zambia,PMO - US,Direct Drop,CIP,Air,30-Jan-07,30-Jan-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,120,2800,115080,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,643,Freight Included in Commodity Cost,
60,Zambia,PMO - US,Direct Drop,CIP,Air,16-Feb-07,16-Feb-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,120,2800,115080,41.1,0.34,ABBVIE Ludwigshafen Germany,643,Freight Included in Commodity Cost,
61,Zambia,PMO - US,Direct Drop,EXW,Air,8-Jan-07,8-Jan-07,HRDT,HIV test,"Trinity Biotech, Plc",SKU0009,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,20,2500,100000,40,2,"Trinity Biotech, Plc",853,13569.49,
62,Nigeria,PMO - US,Direct Drop,EXW,Air,10-Jan-07,10-Jan-07,HRDT,HIV test,EY Laboratories,SKU0010,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests",InstantCHEK,100,10,850,85,0.85,"EY Laboratories, USA",Weight Captured Separately,Invoiced Separately,
64,Rwanda,PMO - US,Direct Drop,EXW,Air,27-Feb-07,27-Feb-07,ARV,Adult,CIPLA LIMITED,SKU0011,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,60,10000,99800,9.98,0.17,"Cipla, Goa, India",7416,64179.42,
65,Haiti,PMO - US,Direct Drop,EXW,Air,18-Jan-07,18-Jan-07,HRDT,HIV test,Abbott GmbH & Co. KG,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,100,750,60000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,256,1760.32,
68,Zimbabwe,PMO - US,Direct Drop,CIP,Air,19-Mar-07,19-Mar-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,SKU0012,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Videx,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,
69,Nigeria,PMO - US,Direct Drop,CIP,,7-May-07,7-May-07,HRDT,HIV test,ACCOUN NIGERIA LIMITED,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,100,1500,120000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Weight Captured Separately,Freight Included in Commodity Cost,192
80,Rwanda,PMO - US,Direct Drop,EXW,Air,29-Mar-07,29-Mar-07,HRDT,HIV test,Premier Medical Corporation Ltd.,SKU0013,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",First Response,30,2000,33000,16.5,0.55,Premier Med. Corp Ltd. India,710,3120.7,
81483,Vietnam,PMO - US,Direct Drop,EXW,Air,12-Nov-12,12-Nov-12,ARV,Adult,CIPLA LIMITED,SKU0014,"Zidovudine 300mg, tablets, 60 Tabs",Generic,60,525,3465,6.6,0.11,"Cipla, Goa, India",34,807.47,4.86
87,Tanzania,PMO - US,Direct Drop,CIP,Air,6-Jun-07,6-Jun-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,SKU0015,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Videx,200,712,8964.08,12.59,0.06,"BMS Meymac, France",162,912.96,
92,Nigeria,PMO - US,Direct Drop,EXW,Air,19-Jun-07,19-Jun-07,HRDT,HIV test,Abbott GmbH & Co. KG,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,100,1000,80000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,341,2682.47,128
96,Nigeria,PMO - US,Direct Drop,EXW,Air,19-Jun-07,19-Jun-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",SKU0016,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,20,7500,202500,27,1.35,Chembio Diagnostics Sys. Inc.,2278,15893.71,
108,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2-Oct-07,2-Oct-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,SKU0012,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Videx,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",2126,Freight Included in Commodity Cost,224.93
