WEEK_END_DATE,STORE_NUM,STORE_CITY,UPC,UNITS,VISITS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,
2017-01-14,367,Montreal,1111009477,13,13,18.07,1.39,1.57,0,0,
2017-01-14,367,Montreal,1111009497,20,18,27.8,1.39,1.39,0,0,
2017-01-14,367,Montreal,1111009507,14,14,19.32,1.38,1.38,0,0,
2017-01-14,367,Montreal,1111035398,4,3,14,3.5,4.49,0,0,
2017-01-14,367,Montreal,1111038078,3,3,7.5,2.5,2.5,0,0,
2017-01-14,367,Montreal,1111038080,2,2,5.18,2.59,2.59,0,0,
2017-01-14,367,Montreal,1111085319,14,13,26.32,1.88,1.88,0,0,
2017-01-14,367,Montreal,1111085345,29,26,54.52,1.88,1.88,0,0,
2017-01-14,367,Montreal,1111085350,35,27,69.3,1.98,1.98,0,0,
2017-01-14,367,Montreal,1111087395,50,40,168,3.36,3.94,0,1,
2017-01-14,367,Montreal,1111087396,61,43,203.13,3.33,4,0,1,
2017-01-14,367,Montreal,1111087398,72,52,238.32,3.31,4,0,1,
2017-01-14,367,Montreal,1600027527,12,10,38.28,3.19,3.19,0,0,
2017-01-14,367,Montreal,1600027528,31,26,142.29,4.59,4.59,0,0,
2017-01-14,367,Montreal,1600027564,56,48,152.32,2.72,3.07,1,0,
2017-01-14,367,Montreal,2840004768,8,6,23.12,2.89,2.89,0,0,
2017-01-14,367,Montreal,3000006340,19,17,38.76,2.04,2.74,0,0,
2017-01-14,367,Montreal,3000006560,87,76,174,2,2.59,0,0,
2017-01-14,367,Montreal,3000006610,48,41,96,2,2.59,0,0,
2017-01-14,367,Montreal,3700019521,2,2,5,2.5,3.49,0,0,
2017-01-14,367,Montreal,3700044982,2,2,10,5,5,0,0,
2017-01-14,367,Montreal,3800031829,14,11,43.96,3.14,3.14,0,0,
2017-01-14,367,Montreal,3800031838,36,35,106.56,2.96,2.96,0,0,
2017-01-14,367,Montreal,3800039118,59,58,157.53,2.67,3.29,1,1,
2017-01-14,367,Montreal,4116709428,1,1,3.99,3.99,4.59,0,0,
2017-01-14,367,Montreal,7027316204,13,8,26.26,2.02,3.29,0,0,
2017-01-14,367,Montreal,7027316404,11,8,13.2,1.2,1.92,0,0,
2017-01-14,367,Montreal,7192100336,12,9,71.88,5.99,6.29,1,0,
2017-01-14,367,Montreal,7192100337,23,22,137.77,5.99,6.29,1,0,
2017-01-14,367,Montreal,7192100339,17,15,101.83,5.99,6.29,1,0,
2017-01-14,367,Montreal,7218063052,1,1,6.46,6.46,6.46,0,0,
2017-01-14,367,Montreal,7218063979,1,1,6.46,6.46,6.46,0,0,
2017-01-14,367,Montreal,7218063983,1,1,6.46,6.46,6.46,0,0,
2017-01-14,367,Montreal,7797508004,1,1,2.5,2.5,2.89,0,0,
2017-01-14,367,Montreal,7797508006,1,1,2.5,2.5,2.89,0,0,
2017-01-14,367,Montreal,31254742835,1,1,4.99,4.99,4.99,0,0,
2017-01-14,389,Laval,1111009477,71,68,98.69,1.39,1.39,0,0,
2017-01-14,389,Laval,1111009497,78,68,106.86,1.37,1.37,0,0,
2017-01-14,389,Laval,1111009507,28,27,38.64,1.38,1.38,0,0,
2017-01-14,389,Laval,1111035398,4,3,14,3.5,4.49,0,0,
2017-01-14,389,Laval,1111038078,6,6,15.54,2.59,2.59,0,0,
2017-01-14,389,Laval,1111038080,2,2,5.18,2.59,2.59,0,0,
2017-01-14,389,Laval,1111085319,46,43,86.02,1.87,1.87,0,0,
2017-01-14,389,Laval,1111085345,59,54,110.92,1.88,1.88,0,0,
2017-01-14,389,Laval,1111085350,118,100,231.28,1.96,1.96,0,0,
2017-01-14,389,Laval,1111087395,33,25,107.25,3.25,3.64,0,1,
2017-01-14,389,Laval,1111087396,29,24,96.86,3.34,3.9,0,0,
2017-01-14,389,Laval,1111087398,38,29,126.16,3.32,3.93,0,0,
2017-01-14,389,Laval,1600027527,52,51,156.52,3.01,3.01,0,0,
2017-01-14,389,Laval,1600027528,65,43,243.1,3.74,4.16,0,0,
2017-01-14,389,Laval,1600027564,147,122,358.68,2.44,2.7,1,0,
2017-01-14,389,Laval,2840002333,15,14,43.35,2.89,2.89,0,0,
2017-01-14,389,Laval,2840004768,20,19,57.8,2.89,2.89,0,0,
2017-01-14,389,Laval,2840004770,5,5,14.45,2.89,2.89,0,0,
2017-01-14,389,Laval,3000006340,76,49,152.76,2.01,2.92,0,0,
2017-01-14,389,Laval,3000006560,75,59,150,2,2.59,0,0,
2017-01-14,389,Laval,3000006610,72,58,144,2,2.59,0,0,
2017-01-14,389,Laval,3700019521,19,15,47.5,2.5,3.49,0,0,
2017-01-14,389,Laval,3700031613,1,1,4.69,4.69,4.69,0,1,
2017-01-14,389,Laval,3800031829,34,31,118.66,3.49,3.49,0,0,
2017-01-14,389,Laval,3800031838,54,53,152.28,2.82,2.82,0,0,
2017-01-14,389,Laval,3800039118,39,38,104.13,2.67,3.38,1,0,
2017-01-14,389,Laval,4116709428,4,4,15.96,3.99,4.59,0,0,
2017-01-14,389,Laval,4116709448,3,3,11.97,3.99,4.59,0,0,
2017-01-14,389,Laval,4116709565,3,3,10.47,3.49,4.99,0,0,
2017-01-14,389,Laval,7027312504,29,17,49.3,1.7,2.25,0,0,
2017-01-14,389,Laval,7027316204,58,34,95.7,1.65,1.65,0,0,
2017-01-14,389,Laval,7027316404,57,35,105.45,1.85,1.85,0,0,
2017-01-14,389,Laval,7110410455,4,4,10,2.5,2.79,0,0,
2017-01-14,389,Laval,7110410471,2,2,5.3,2.65,2.65,0,0,
2017-01-14,389,Laval,7192100336,6,6,35.94,5.99,6.29,1,0,
2017-01-14,389,Laval,7192100337,34,31,204,6,6.29,1,1,
2017-01-14,389,Laval,7192100339,40,34,241.2,6.03,6.43,1,0,
2017-01-14,389,Laval,7218063052,6,6,38.76,6.46,6.46,0,1,
2017-01-14,389,Laval,7218063983,6,3,38.76,6.46,6.46,0,0,
2017-01-14,389,Laval,7797502248,16,15,39.84,2.49,2.49,0,0,
2017-01-14,389,Laval,7797508004,34,34,85,2.5,2.89,0,1,
2017-01-14,389,Laval,7797508006,20,20,50,2.5,2.89,0,1,
2017-01-14,389,Laval,31254742725,2,2,7.98,3.99,3.99,0,0,
2017-01-14,389,Laval,31254742735,8,8,39.92,4.99,4.99,0,0,
2017-01-14,389,Laval,31254742835,11,11,54.89,4.99,4.99,0,0,
2017-01-14,623,Ottawa,1111009477,33,28,38.28,1.16,1.16,0,1,
2017-01-14,623,Ottawa,1111009497,42,39,49.56,1.18,1.18,0,1,
2017-01-14,623,Ottawa,1111009507,12,11,14.04,1.17,1.17,0,0,
2017-01-14,623,Ottawa,1111035398,1,1,4.69,4.69,4.69,0,0,
2017-01-14,623,Ottawa,1111038078,5,5,9.75,1.95,2.59,0,0,
2017-01-14,623,Ottawa,1111038080,5,5,11.35,2.27,2.56,0,0,
2017-01-14,623,Ottawa,1111085319,20,17,36.4,1.82,1.82,0,0,
2017-01-14,623,Ottawa,1111085345,19,16,34.2,1.8,1.8,0,0,
2017-01-14,623,Ottawa,1111085350,15,14,30.15,2.01,2.34,0,0,
2017-01-14,623,Ottawa,1111087395,4,3,13,3.25,3.25,0,0,
2017-01-14,623,Ottawa,1111087396,10,8,32.7,3.27,3.27,0,0,
2017-01-14,623,Ottawa,1111087398,6,6,20.04,3.34,3.34,0,0,
2017-01-14,623,Ottawa,1600027527,57,55,181.83,3.19,3.19,0,0,
2017-01-14,623,Ottawa,1600027528,16,15,66.4,4.15,4.15,0,0,
2017-01-14,623,Ottawa,1600027564,30,26,91.2,3.04,3.04,0,0,
2017-01-14,623,Ottawa,2840002333,1,1,2.49,2.49,2.49,0,0,
2017-01-14,623,Ottawa,2840004768,6,6,14.94,2.49,2.49,0,0,
2017-01-14,623,Ottawa,2840004770,8,8,19.92,2.49,2.49,0,0,
2017-01-14,623,Ottawa,3000006340,44,35,88,2,2.71,0,1,
2017-01-14,623,Ottawa,3000006560,24,24,48.48,2.02,2.59,0,0,
2017-01-14,623,Ottawa,3000006610,26,23,52,2,2.59,0,0,
2017-01-14,623,Ottawa,3700019521,8,8,20.96,2.62,2.62,0,0,
2017-01-14,623,Ottawa,3700031613,5,5,19.95,3.99,6.59,0,0,
2017-01-14,623,Ottawa,3700044982,11,11,49.5,4.5,4.5,0,1,
2017-01-14,623,Ottawa,3800031829,21,21,60.48,2.88,2.88,0,0,
2017-01-14,623,Ottawa,3800031838,37,36,106.93,2.89,2.89,0,0,
2017-01-14,623,Ottawa,3800039118,39,35,104.13,2.67,2.98,1,0,
2017-01-14,623,Ottawa,4116709565,2,2,9.98,4.99,4.99,0,0,
2017-01-14,623,Ottawa,7192100336,11,8,65.89,5.99,6.29,1,0,
2017-01-14,623,Ottawa,7192100337,20,18,119.8,5.99,6.3,1,0,
2017-01-14,623,Ottawa,7192100339,6,5,35.94,5.99,6.29,1,0,
2017-01-14,623,Ottawa,7218063052,3,3,20.37,6.79,6.79,0,0,
2017-01-14,623,Ottawa,7218063979,2,2,13.58,6.79,6.79,0,0,
2017-01-14,623,Ottawa,7218063983,4,4,27.16,6.79,6.79,0,0,
2017-01-14,623,Ottawa,7797502248,2,2,4.78,2.39,2.39,0,0,
2017-01-14,623,Ottawa,7797508004,6,6,15.42,2.57,2.57,0,0,
2017-01-14,623,Ottawa,7797508006,7,7,17.5,2.5,2.89,0,0,
2017-01-14,623,Ottawa,31254742725,4,4,18.36,4.59,4.59,0,0,
2017-01-14,623,Ottawa,31254742735,8,8,41.52,5.19,5.19,0,0,
2017-01-14,623,Ottawa,31254742835,3,3,15.57,5.19,5.19,0,0,
2017-01-21,367,Montreal,1111009477,24,23,33.36,1.39,1.57,0,0,
2017-01-21,367,Montreal,1111009497,9,9,12.33,1.37,1.37,0,0,
2017-01-21,367,Montreal,1111009507,11,11,15.29,1.39,1.39,0,0,
2017-01-21,367,Montreal,1111038078,2,2,2,1,2.5,1,0,
2017-01-21,367,Montreal,1111038080,19,17,18.62,0.98,2.59,1,0,
2017-01-21,367,Montreal,1111085319,12,12,22.68,1.89,1.89,0,0,
2017-01-21,367,Montreal,1111085345,20,19,37.4,1.87,1.87,0,0,
2017-01-21,367,Montreal,1111085350,33,25,66,2,2,0,0,
2017-01-21,367,Montreal,1111087395,31,25,103.23,3.33,3.94,0,0,
2017-01-21,367,Montreal,1111087396,59,40,195.88,3.32,4,0,1,
2017-01-21,367,Montreal,1111087398,37,29,122.84,3.32,4,0,1,
2017-01-21,367,Montreal,1600027527,7,7,22.33,3.19,3.19,0,0,
2017-01-21,367,Montreal,1600027528,24,19,110.16,4.59,4.59,0,0,
2017-01-21,367,Montreal,1600027564,36,23,96.48,2.68,3.07,0,0,
2017-01-21,367,Montreal,2840004768,3,3,8.67,2.89,2.89,0,0,
2017-01-21,367,Montreal,3000006340,9,8,23.22,2.58,2.58,0,0,
2017-01-21,367,Montreal,3000006560,27,26,69.93,2.59,2.59,0,0,
2017-01-21,367,Montreal,3000006610,16,16,40.8,2.55,2.55,0,0,
2017-01-21,367,Montreal,3700019521,2,2,5,2.5,2.5,0,0,
2017-01-21,367,Montreal,3800031829,17,13,53.38,3.14,3.14,0,0,
2017-01-21,367,Montreal,3800031838,17,17,50.32,2.96,2.96,0,0,
2017-01-21,367,Montreal,3800039118,63,62,168.21,2.67,3.29,1,1,
2017-01-21,367,Montreal,7027316204,9,7,16.47,1.83,3.29,0,0,
2017-01-21,367,Montreal,7027316404,9,7,16.47,1.83,1.83,0,0,
2017-01-21,367,Montreal,7192100336,2,2,11.98,5.99,6.29,1,0,
2017-01-21,367,Montreal,7192100337,9,8,53.91,5.99,6.29,1,0,
2017-01-21,367,Montreal,7192100339,16,13,95.84,5.99,6.29,1,1,
2017-01-21,367,Montreal,7218063052,1,1,6.46,6.46,6.46,0,0,
2017-01-21,367,Montreal,7218063979,3,3,19.38,6.46,6.46,0,0,
2017-01-21,367,Montreal,7218063983,1,1,6.46,6.46,6.46,0,0,
2017-01-21,367,Montreal,7797508004,1,1,2.5,2.5,2.89,0,0,
2017-01-21,367,Montreal,7797508006,2,2,5,2.5,2.89,0,0,
2017-01-21,367,Montreal,31254742725,3,3,11.97,3.99,3.99,0,0,
2017-01-21,367,Montreal,31254742735,2,2,9.98,4.99,4.99,0,0,
2017-01-21,367,Montreal,31254742835,1,1,4.99,4.99,4.99,0,0,
2017-01-21,389,Laval,1111009477,78,67,107.64,1.38,1.38,0,0,
2017-01-21,389,Laval,1111009497,74,66,102.12,1.38,1.38,0,0,
2017-01-21,389,Laval,1111009507,24,20,33.12,1.38,1.38,0,0,
2017-01-21,389,Laval,1111035398,2,2,6.66,3.33,4.49,0,0,
2017-01-21,389,Laval,1111038078,28,23,27.44,0.98,2.59,1,1,
2017-01-21,389,Laval,1111038080,39,31,38.22,0.98,2.59,1,1,
2017-01-21,389,Laval,1111085319,55,51,102.85,1.87,1.87,0,0,
2017-01-21,389,Laval,1111085345,51,47,95.37,1.87,1.87,0,0,
2017-01-21,389,Laval,1111085350,102,82,200.94,1.97,1.97,0,0,
2017-01-21,389,Laval,1111087395,17,16,56.44,3.32,3.32,0,0,
2017-01-21,389,Laval,1111087396,39,27,128.7,3.3,3.9,0,1,
2017-01-21,389,Laval,1111087398,28,24,92.4,3.3,3.93,0,0,
2017-01-21,389,Laval,1600027527,62,59,197.78,3.19,3.19,0,0,
2017-01-21,389,Laval,1600027528,24,22,110.16,4.59,4.59,0,0,
2017-01-21,389,Laval,1600027564,90,85,243,2.7,2.7,0,0,
2017-01-21,389,Laval,2840002333,18,16,52.02,2.89,2.89,0,0,
2017-01-21,389,Laval,2840004768,26,25,75.14,2.89,2.89,0,0,
2017-01-21,389,Laval,2840004770,4,4,11.56,2.89,2.89,0,0,
2017-01-21,389,Laval,3000006340,12,11,33.24,2.77,2.77,0,0,
2017-01-21,389,Laval,3000006560,36,35,93.24,2.59,2.59,0,0,
2017-01-21,389,Laval,3000006610,20,20,51.8,2.59,2.59,0,0,
2017-01-21,389,Laval,3700019521,21,18,52.5,2.5,3.49,0,0,
2017-01-21,389,Laval,3700031613,2,2,9.38,4.69,4.69,0,1,
2017-01-21,389,Laval,3800031829,34,32,118.66,3.49,3.49,0,0,
2017-01-21,389,Laval,3800031838,64,63,191.36,2.99,2.99,0,0,
2017-01-21,389,Laval,3800039118,65,59,174.2,2.68,3.38,1,0,
2017-01-21,389,Laval,4116709428,2,2,7.98,3.99,4.59,0,0,
2017-01-21,389,Laval,4116709448,2,2,7.98,3.99,4.59,0,0,
2017-01-21,389,Laval,4116709565,3,3,10.47,3.49,4.99,0,0,
2017-01-21,389,Laval,7027312504,29,19,55.97,1.93,2.25,0,0,
2017-01-21,389,Laval,7027316204,71,43,121.41,1.71,1.71,0,0,
2017-01-21,389,Laval,7027316404,52,36,85.8,1.65,1.85,0,0,
2017-01-21,389,Laval,7110410455,4,4,10,2.5,2.79,0,0,
2017-01-21,389,Laval,7110410470,2,2,5,2.5,2.79,0,0,
2017-01-21,389,Laval,7110410471,1,1,2.5,2.5,2.5,0,0,
2017-01-21,389,Laval,7192100336,16,15,95.84,5.99,6.29,1,0,
