NA,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE,predictSales
0,3.0,1600027528,2.5,6.25,0,0,0,0.8333333333333334,95.0
1,3.0,1600027528,3.0,9.0,0,0,0,1.0,67.0
2,3.0,1600027528,3.5,12.25,0,0,0,1.1666666666666667,46.0
3,3.0,1600027564,2.5,6.25,0,0,0,0.8333333333333334,24.0
4,3.0,1600027564,3.0,9.0,0,0,0,1.0,23.0
5,3.0,1600027564,3.5,12.25,0,0,0,1.1666666666666667,20.0
6,3.0,3000006340,2.5,6.25,0,0,0,0.8333333333333334,6.0
7,3.0,3000006340,3.0,9.0,0,0,0,1.0,4.0
8,3.0,3000006340,3.5,12.25,0,0,0,1.1666666666666667,3.0
9,3.0,3800031829,2.5,6.25,0,0,0,0.8333333333333334,33.0
10,3.0,3800031829,3.0,9.0,0,0,0,1.0,24.0
11,3.0,3800031829,3.5,12.25,0,0,0,1.1666666666666667,20.0
