,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,Desc,Category,Sub-Category,SUMPRICE,COUNTPRICE,AVGPRICE,RELPRICE
6,2009-01-14,367.0,1111085319,14.0,13.0,13.0,26.32,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,0.6734902763561923
8,2009-01-14,367.0,1111085350,35.0,27.0,25.0,69.3,1.98,1.98,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,0.7093142272262025
12,2009-01-14,367.0,1600027527,12.0,10.0,10.0,38.28,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,1.1427840327533263
13,2009-01-14,367.0,1600027528,31.0,26.0,19.0,142.29,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,1.6443193449334694
14,2009-01-14,367.0,1600027564,56.0,48.0,42.0,152.32,2.72,3.07,1.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,0.9744114636642783
16,2009-01-14,367.0,3000006340,19.0,17.0,17.0,38.76,2.04,2.74,0.0,0.0,1.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,0.7308085977482087
21,2009-01-14,367.0,3800031829,14.0,11.0,3.0,43.96,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.540000000000003,7,2.791428571428572,1.1248720573183213
3163,2009-01-21,367.0,1111085319,12.0,12.0,12.0,22.68,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.6591928251121076
3165,2009-01-21,367.0,1111085350,33.0,25.0,25.0,66.0,2.0,2.0,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.6975585450921774
3169,2009-01-21,367.0,1600027527,7.0,7.0,7.0,22.33,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,1.112605879422023
3170,2009-01-21,367.0,1600027528,24.0,19.0,11.0,110.16,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,1.600896860986547
3171,2009-01-21,367.0,1600027564,36.0,23.0,23.0,96.48,2.68,3.07,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.9347284504235178
3173,2009-01-21,367.0,3000006340,9.0,8.0,7.0,23.22,2.58,2.58,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,0.8998505231689089
3177,2009-01-21,367.0,3800031829,17.0,13.0,6.0,53.38,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.07,7,2.867142857142857,1.0951669157947186
6293,2009-01-28,367.0,1111085319,18.0,17.0,16.0,33.66,1.87,1.87,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,0.6314520019295707
6295,2009-01-28,367.0,1111085350,30.0,21.0,20.0,60.3,2.01,2.01,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,0.6787264833574529
6299,2009-01-28,367.0,1600027527,9.0,9.0,9.0,28.71,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.0771828268210324
6300,2009-01-28,367.0,1600027528,27.0,21.0,7.0,123.93,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.5499276410998553
6301,2009-01-28,367.0,1600027564,20.0,20.0,15.0,63.8,3.19,3.19,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.0771828268210324
6303,2009-01-28,367.0,3000006340,3.0,3.0,2.0,8.22,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,0.925229136517125
6309,2009-01-28,367.0,3800031829,23.0,19.0,8.0,72.22,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.73,7,2.9614285714285713,1.0602990834539316
9426,2009-02-04,367.0,1111085319,13.0,13.0,13.0,24.44,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,0.6351351351351351
9428,2009-02-04,367.0,1111085350,38.0,31.0,30.0,75.62,1.99,1.99,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,0.6722972972972973
9432,2009-02-04,367.0,1600027527,18.0,17.0,16.0,57.42,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.0777027027027026
9433,2009-02-04,367.0,1600027528,28.0,24.0,13.0,128.52,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.5506756756756757
9434,2009-02-04,367.0,1600027564,16.0,14.0,10.0,51.04,3.19,3.19,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.0777027027027026
9436,2009-02-04,367.0,3000006340,5.0,5.0,2.0,13.7,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,0.9256756756756758
9440,2009-02-04,367.0,3800031829,25.0,23.0,10.0,78.5,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.72,7,2.96,1.060810810810811
12549,2009-02-11,367.0,1111085319,16.0,16.0,16.0,29.92,1.87,1.87,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,0.8201754385964912
12551,2009-02-11,367.0,1111085350,38.0,27.0,26.0,74.86,1.97,1.97,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,0.8640350877192982
12555,2009-02-11,367.0,1600027527,243.0,187.0,179.0,403.38,1.66,3.19,1.0,1.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,0.7280701754385964
12556,2009-02-11,367.0,1600027528,101.0,84.0,69.0,288.86,2.86,4.59,0.0,1.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,1.2543859649122806
12557,2009-02-11,367.0,1600027564,13.0,12.0,12.0,22.36,1.72,3.19,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,0.7543859649122806
12559,2009-02-11,367.0,3000006340,8.0,8.0,6.0,21.92,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,1.2017543859649122
12564,2009-02-11,367.0,3800031829,23.0,19.0,11.0,72.22,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,15.96,7,2.2800000000000002,1.3771929824561402
15637,2009-02-18,367.0,1111085319,9.0,5.0,5.0,14.49,1.61,1.87,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,0.716010165184244
15639,2009-02-18,367.0,1111085350,15.0,14.0,14.0,35.85,2.39,2.39,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,1.0628970775095299
15643,2009-02-18,367.0,1600027527,146.0,117.0,115.0,245.28,1.68,3.19,0.0,1.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,0.747141041931385
15644,2009-02-18,367.0,1600027528,55.0,44.0,40.0,146.85,2.67,4.59,0.0,1.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,1.1874205844980938
15645,2009-02-18,367.0,1600027564,19.0,19.0,19.0,28.69,1.51,3.19,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,0.6715374841168996
15647,2009-02-18,367.0,3000006340,5.0,5.0,5.0,13.7,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,1.218551461245235
15651,2009-02-18,367.0,3800031829,16.0,13.0,6.0,50.24,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,15.74,7,2.2485714285714287,1.3964421855146125
18707,2009-02-25,367.0,1111085319,22.0,20.0,20.0,36.52,1.66,1.87,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,0.6177565124933546
18709,2009-02-25,367.0,1111085350,17.0,14.0,14.0,40.12,2.36,2.36,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,0.8782562466772994
18713,2009-02-25,367.0,1600027527,131.0,105.0,103.0,217.46,1.66,3.19,1.0,1.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,0.6177565124933546
18714,2009-02-25,367.0,1600027528,27.0,24.0,12.0,123.93,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,1.7081339712918662
