,avgPriceChoice,UPC,PRICE,FEATURE,DISPLAY,TPR_ONLY,RELPRICE
0,2.5,1111085319,1.5,1,1,1,0.6
1,2.5,1111085319,2,1,1,1,0.8
2,2.5,1111085319,2.5,1,1,1,1
3,2.5,1111085319,3,1,1,1,1.2
4,2.5,1111085319,3.5,1,1,1,1.4
5,2.5,1111085319,4,1,1,1,1.6
6,2.5,1111085319,4.5,1,1,1,1.8
7,2.5,1111085319,5,1,1,1,2
8,3,1111085319,1.5,1,1,1,0.5
9,3,1111085319,2,1,1,1,0.666666667
10,3,1111085319,2.5,1,1,1,0.833333333
11,3,1111085319,3,1,1,1,1
12,3,1111085319,3.5,1,1,1,1.166666667
13,3,1111085319,4,1,1,1,1.333333333
14,3,1111085319,4.5,1,1,1,1.5
15,3,1111085319,5,1,1,1,1.666666667
16,3.25,1111085319,1.5,1,1,1,0.461538462
17,3.25,1111085319,2,1,1,1,0.615384615
18,3.25,1111085319,2.5,1,1,1,0.769230769
19,3.25,1111085319,3,1,1,1,0.923076923
20,3.25,1111085319,3.5,1,1,1,1.076923077
21,3.25,1111085319,4,1,1,1,1.230769231
22,3.25,1111085319,4.5,1,1,1,1.384615385
23,3.25,1111085319,5,1,1,1,1.538461538
24,3.5,1111085319,1.5,1,1,1,0.428571429
25,3.5,1111085319,2,1,1,1,0.571428571
26,3.5,1111085319,2.5,1,1,1,0.714285714
27,3.5,1111085319,3,1,1,1,0.857142857
28,3.5,1111085319,3.5,1,1,1,1
29,3.5,1111085319,4,1,1,1,1.142857143
30,3.5,1111085319,4.5,1,1,1,1.285714286
31,3.5,1111085319,5,1,1,1,1.428571429
32,2.5,1111085350,1.5,1,1,1,0.6
33,2.5,1111085350,2,1,1,1,0.8
34,2.5,1111085350,2.5,1,1,1,1
35,2.5,1111085350,3,1,1,1,1.2
36,2.5,1111085350,3.5,1,1,1,1.4
37,2.5,1111085350,4,1,1,1,1.6
38,2.5,1111085350,4.5,1,1,1,1.8
39,2.5,1111085350,5,1,1,1,2
40,3,1111085350,1.5,1,1,1,0.5
41,3,1111085350,2,1,1,1,0.666666667
42,3,1111085350,2.5,1,1,1,0.833333333
43,3,1111085350,3,1,1,1,1
44,3,1111085350,3.5,1,1,1,1.166666667
45,3,1111085350,4,1,1,1,1.333333333
46,3,1111085350,4.5,1,1,1,1.5
47,3,1111085350,5,1,1,1,1.666666667
48,3.25,1111085350,1.5,1,1,1,0.461538462
49,3.25,1111085350,2,1,1,1,0.615384615
50,3.25,1111085350,2.5,1,1,1,0.769230769
51,3.25,1111085350,3,1,1,1,0.923076923
52,3.25,1111085350,3.5,1,1,1,1.076923077
53,3.25,1111085350,4,1,1,1,1.230769231
54,3.25,1111085350,4.5,1,1,1,1.384615385
55,3.25,1111085350,5,1,1,1,1.538461538
56,3.5,1111085350,1.5,1,1,1,0.428571429
57,3.5,1111085350,2,1,1,1,0.571428571
58,3.5,1111085350,2.5,1,1,1,0.714285714
59,3.5,1111085350,3,1,1,1,0.857142857
60,3.5,1111085350,3.5,1,1,1,1
61,3.5,1111085350,4,1,1,1,1.142857143
62,3.5,1111085350,4.5,1,1,1,1.285714286
63,3.5,1111085350,5,1,1,1,1.428571429
64,2.5,1600027527,1.5,1,1,1,0.6
65,2.5,1600027527,2,1,1,1,0.8
66,2.5,1600027527,2.5,1,1,1,1
67,2.5,1600027527,3,1,1,1,1.2
68,2.5,1600027527,3.5,1,1,1,1.4
69,2.5,1600027527,4,1,1,1,1.6
70,2.5,1600027527,4.5,1,1,1,1.8
71,2.5,1600027527,5,1,1,1,2
72,3,1600027527,1.5,1,1,1,0.5
73,3,1600027527,2,1,1,1,0.666666667
74,3,1600027527,2.5,1,1,1,0.833333333
75,3,1600027527,3,1,1,1,1
76,3,1600027527,3.5,1,1,1,1.166666667
77,3,1600027527,4,1,1,1,1.333333333
78,3,1600027527,4.5,1,1,1,1.5
79,3,1600027527,5,1,1,1,1.666666667
80,3.25,1600027527,1.5,1,1,1,0.461538462
81,3.25,1600027527,2,1,1,1,0.615384615
82,3.25,1600027527,2.5,1,1,1,0.769230769
83,3.25,1600027527,3,1,1,1,0.923076923
84,3.25,1600027527,3.5,1,1,1,1.076923077
85,3.25,1600027527,4,1,1,1,1.230769231
