ds,CA_HOBBIES_1_002,CA_HOBBIES_1_004,CA_HOBBIES_1_005,CA_HOBBIES_1_006,CA_HOBBIES_1_007,CA_HOBBIES_1_008,CA_HOBBIES_1_009,CA_HOBBIES_1_010,CA_HOBBIES_1_011,CA_HOBBIES_1_012,CA_HOBBIES_1_018,CA_HOBBIES_1_023,CA_HOBBIES_1_049,CA_HOBBIES_1_052,CA_HOBBIES_1_054,CA_HOBBIES_1_077,CA_HOBBIES_1_098,CA_HOBBIES_1_099,CA_HOBBIES_1_106,CA_HOBBIES_1_112
2013-01-06,6,85,33,39,4,0,32,20,1,18,1,35,3,1,1,15,22,32,5,11
2013-01-13,5,52,43,38,7,2,35,16,3,15,0,41,7,0,2,21,20,40,9,4
2013-01-20,8,85,24,32,9,0,44,19,3,11,0,35,13,1,0,10,29,32,7,6
2013-01-27,7,66,40,47,8,89,38,17,4,18,2,36,8,0,4,19,30,48,9,7
2013-02-03,7,88,34,47,4,251,30,14,5,13,0,30,13,1,3,13,28,37,4,4
2013-02-10,5,86,26,51,9,63,18,19,2,15,0,31,18,1,2,12,18,45,2,2
2013-02-17,8,52,8,46,3,234,24,23,3,9,0,36,15,0,2,19,29,45,0,5
2013-02-24,5,78,29,50,5,249,31,15,2,16,0,35,7,1,1,9,29,50,0,4
2013-03-03,7,83,38,60,9,192,28,13,5,24,0,41,17,1,0,24,24,54,0,5
2013-03-10,7,91,35,79,2,73,12,22,3,19,0,30,16,4,0,17,19,27,0,4
2013-03-17,5,83,32,35,3,184,18,16,4,12,0,39,8,0,0,22,31,54,0,5
2013-03-24,7,108,30,28,9,228,17,26,2,14,0,36,12,1,0,18,26,39,0,4
2013-03-31,7,74,27,21,8,20,18,17,1,16,0,36,11,1,0,14,26,42,0,7
2013-04-07,3,110,19,25,3,314,14,22,5,20,0,35,12,1,0,18,22,51,0,5
2013-04-14,4,97,18,34,6,239,44,19,9,17,0,27,13,0,0,13,25,57,0,6
2013-04-21,6,90,36,33,7,196,27,17,0,10,0,37,14,1,0,30,27,48,0,2
2013-04-28,5,61,28,23,5,233,26,19,6,14,0,42,9,3,0,16,27,39,0,1
2013-05-05,7,75,2,40,6,40,25,12,5,18,0,31,9,0,0,17,28,40,0,0
2013-05-12,4,96,3,29,6,303,12,14,1,18,0,37,16,2,0,19,17,21,0,1
