ds,HOBBIES_2_142_CA_4,HOBBIES_2_129_CA_1,HOBBIES_2_129_CA_2,HOBBIES_2_100_CA_1,HOBBIES_2_028_CA_3,HOBBIES_2_124_CA_2,HOUSEHOLD_2_142_CA_2,HOBBIES_2_059_CA_2,HOBBIES_1_119_CA_4,HOBBIES_2_142_CA_2,HOUSEHOLD_1_518_CA_2,HOUSEHOLD_2_111_CA_1,HOUSEHOLD_2_067_CA_3,HOBBIES_2_122_CA_3,HOUSEHOLD_2_111_CA_2,HOUSEHOLD_2_053_CA_1,HOBBIES_1_121_CA_3,HOBBIES_2_028_CA_2,HOBBIES_1_145_CA_2,HOBBIES_2_122_CA_1,HOUSEHOLD_2_067_CA_4,HOBBIES_2_016_CA_2,HOBBIES_2_122_CA_2,HOUSEHOLD_1_133_CA_1,HOUSEHOLD_2_239_CA_4
2013-01-06,2,7,6,0,0,4,27,5,0,12,0,0,0,0,1,0,0,1,0,0,0,1,0,5,3
2013-01-13,19,1,0,0,4,0,7,24,0,4,0,0,0,0,1,4,0,3,1,0,0,1,1,8,7
2013-01-20,0,0,3,2,0,2,4,1,0,10,0,4,0,0,0,9,0,1,0,0,0,0,2,4,5
2013-01-27,9,6,8,2,3,4,14,17,0,0,0,0,0,0,1,9,0,3,0,0,0,2,0,10,4
2013-02-03,3,1,1,2,0,0,16,3,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4
2013-02-10,10,0,3,0,11,0,8,2,0,3,0,1,0,0,1,2,0,2,0,0,0,2,0,2,0
2013-02-17,1,3,0,0,2,5,10,10,0,4,0,0,0,0,4,24,0,1,1,0,0,1,2,3,0
2013-02-24,7,1,7,0,1,9,16,15,0,3,0,1,0,0,2,6,0,0,1,0,0,0,0,15,0
2013-03-03,9,2,1,3,1,3,11,3,0,3,0,1,0,0,8,0,12,2,0,0,0,0,2,8,0
2013-03-10,9,3,0,0,8,11,13,6,0,4,0,3,0,0,4,0,0,2,0,0,0,0,0,3,0
2013-03-17,4,7,0,1,2,0,19,0,0,17,0,2,0,0,3,3,0,1,1,0,0,2,0,2,0
2013-03-24,6,15,3,2,1,4,14,2,0,1,0,2,0,0,16,2,1,3,1,1,0,2,0,3,0
2013-03-31,5,5,1,0,3,0,12,2,0,1,0,1,0,2,12,10,2,0,0,0,0,3,2,3,0
2013-04-07,9,5,1,0,4,2,26,1,0,0,0,3,0,0,6,6,5,5,2,0,0,2,1,8,3
2013-04-14,17,2,3,0,14,11,5,19,0,0,0,5,0,1,9,2,1,0,0,0,0,1,0,5,3
2013-04-21,3,11,3,0,0,8,10,2,0,0,0,9,0,0,14,4,5,2,0,0,0,2,0,3,1
2013-04-28,1,6,0,0,1,0,16,8,0,3,0,9,0,0,19,3,22,4,1,1,0,2,1,6,5
2013-05-05,0,3,6,0,1,2,24,2,0,4,0,14,0,0,9,2,34,4,1,0,0,1,0,0,0
2013-05-12,0,2,13,5,8,1,5,0,0,13,0,12,0,2,8,2,1,0,2,2,0,1,0,5,5
2013-05-19,5,3,3,3,2,1,27,4,0,11,0,19,0,0,9,1,8,3,2,0,0,2,2,5,1
2013-05-26,7,1,0,2,8,3,10,5,0,6,0,10,0,0,5,0,4,1,1,2,0,2,0,0,0
2013-06-02,0,4,4,1,5,4,12,9,0,10,0,15,0,0,2,1,25,2,5,0,0,1,0,4,6
2013-06-09,3,1,2,0,3,5,25,4,0,14,0,19,0,0,12,2,5,1,1,0,0,1,1,21,0
2013-06-16,1,1,1,1,0,1,13,12,0,0,0,0,0,0,0,2,15,3,0,0,0,0,0,3,0
2013-06-23,0,5,0,3,1,1,14,6,0,24,0,15,0,0,17,1,14,0,0,0,0,19,0,0,0
2013-06-30,0,0,1,0,3,0,9,1,0,13,0,48,0,0,35,3,6,0,0,1,0,1,0,3,3
2013-07-07,1,2,5,1,2,3,23,6,3,3,0,26,0,0,46,1,0,3,0,0,0,0,0,2,9
2013-07-14,3,1,0,4,1,2,15,8,5,13,0,16,0,1,22,2,14,1,2,0,0,0,0,12,5
2013-07-21,0,1,0,3,0,6,10,6,6,3,0,8,0,0,29,2,3,0,0,1,0,0,0,7,4
2013-07-28,0,0,0,3,4,0,9,2,7,10,0,7,0,2,20,5,1,0,0,0,0,0,0,1,6
2013-08-04,3,2,4,0,5,6,11,11,14,17,0,6,0,0,8,2,0,3,0,0,0,1,0,5,7
2013-08-11,9,8,5,4,4,4,19,6,9,2,0,7,0,0,8,1,3,1,0,1,0,0,0,1,6
2013-08-18,1,10,1,1,1,1,11,2,4,7,0,3,0,0,10,0,1,1,0,0,0,0,3,2,7
2013-08-25,1,2,0,4,0,2,14,4,4,2,0,4,0,1,8,0,3,2,0,1,0,0,1,0,9
2013-09-01,1,2,1,4,4,10,17,6,7,0,0,6,0,0,6,5,1,1,0,1,0,1,0,21,9
2013-09-08,3,5,0,0,3,1,22,8,7,0,0,5,0,0,7,2,1,1,0,0,0,1,0,1,14
2013-09-15,0,0,0,1,1,5,11,2,1,3,0,2,0,0,7,1,13,1,2,1,0,0,1,6,11
2013-09-22,1,8,27,3,2,9,16,32,3,19,0,1,0,0,6,0,3,2,0,1,0,0,1,1,7
2013-09-29,2,3,5,2,3,11,13,19,4,11,0,1,0,1,4,0,3,0,0,2,0,0,0,17,13
2013-10-06,11,5,2,0,7,26,10,16,4,16,0,1,0,0,4,1,1,7,0,1,0,0,0,22,6
2013-10-13,2,12,11,0,21,11,21,9,9,9,0,4,0,1,1,2,4,5,0,4,0,0,3,23,12
2013-10-20,3,7,2,4,22,19,7,43,8,28,0,1,0,3,1,0,0,5,0,0,0,0,4,6,6
2013-10-27,14,25,26,1,23,22,25,14,9,36,0,2,0,4,3,0,0,27,0,10,0,0,4,30,8
2013-11-03,9,13,21,2,3,18,13,21,4,0,0,1,0,3,0,1,2,17,0,0,0,0,0,7,9
2013-11-10,0,21,8,2,0,1,9,7,1,2,0,2,0,0,3,0,1,0,0,2,0,0,0,4,10
2013-11-17,1,10,5,2,0,2,16,18,13,5,0,0,0,0,0,0,8,1,0,1,0,0,3,4,13
2013-11-24,17,4,13,2,2,3,5,8,3,7,0,0,0,0,0,0,2,2,0,5,0,0,4,9,5
2013-12-01,1,1,14,6,4,17,40,12,4,22,0,0,0,0,0,0,2,0,0,7,0,0,1,0,2
2013-12-08,15,14,21,3,2,3,11,0,11,8,0,1,0,8,1,0,0,4,1,15,0,0,19,7,6
2013-12-15,2,3,6,6,4,4,19,17,3,9,0,2,0,6,0,0,0,0,4,12,0,0,2,8,0
2013-12-22,10,2,18,7,6,5,13,27,3,0,0,0,0,1,2,0,0,0,7,0,0,0,3,3,1
2013-12-29,1,0,0,0,2,0,8,14,3,2,0,0,0,1,0,0,4,0,1,0,0,0,0,2,3
2014-01-05,0,0,1,2,3,2,10,11,7,0,0,5,0,0,0,0,1,0,0,0,0,0,0,6,8
2014-01-12,3,0,1,3,3,2,11,7,8,11,0,0,0,0,0,0,3,1,0,0,0,0,5,3,6
2014-01-19,1,0,0,0,4,4,2,2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,11,9,0
2014-01-26,2,2,1,3,0,1,18,6,12,13,26,0,0,0,0,0,0,2,0,0,0,0,2,12,9
2014-02-02,1,3,10,1,4,9,9,9,2,9,83,2,0,1,0,2,2,0,2,0,0,0,1,5,5
2014-02-09,2,7,2,1,5,0,13,5,15,0,59,0,0,0,0,6,2,0,0,0,0,0,0,3,10
2014-02-16,2,0,1,2,4,1,3,22,1,3,2,4,0,0,0,3,0,0,3,0,0,0,0,2,6
2014-02-23,1,0,8,3,1,3,15,0,5,7,0,2,0,0,0,5,0,0,1,0,0,0,0,0,4
2014-03-02,11,2,2,2,2,16,12,0,18,10,0,2,0,0,0,2,2,0,0,0,0,0,0,7,8
2014-03-09,13,0,0,0,0,4,10,0,17,5,0,2,0,0,1,0,3,1,2,0,0,0,0,3,3
2014-03-16,0,14,4,0,0,0,10,2,4,12,0,5,8,0,8,1,0,2,1,0,0,0,0,1,8
2014-03-23,2,19,2,1,0,6,18,2,18,16,0,16,29,0,7,0,0,0,1,0,3,0,0,5,7
2014-03-30,3,5,1,1,1,2,10,4,4,8,0,6,26,0,7,2,0,0,3,0,6,0,1,3,9
2014-04-06,5,2,0,3,4,3,14,4,16,4,0,2,26,0,0,0,4,0,2,0,6,0,1,7,4
2014-04-13,3,4,4,2,10,5,24,6,20,3,0,0,64,0,0,0,1,0,1,1,14,0,1,4,11
2014-04-20,0,0,3,3,3,6,0,4,2,4,0,0,88,0,0,0,0,0,1,0,71,0,1,6,11
2014-04-27,2,8,4,2,2,0,11,2,22,27,0,0,15,0,0,1,1,0,1,0,8,0,1,7,16
2014-05-04,3,9,1,2,2,7,4,6,32,1,0,0,11,0,0,0,0,0,1,4,1,0,1,4,14
2014-05-11,11,5,0,5,13,9,8,1,6,0,0,0,5,0,0,5,3,0,0,1,0,0,0,2,6
2014-05-18,3,7,2,5,11,4,15,3,18,17,0,0,7,0,0,11,0,0,0,0,0,0,0,2,13
2014-05-25,4,14,11,1,5,3,10,10,4,18,0,0,4,0,0,2,2,0,0,2,0,0,0,7,11
2014-06-01,0,9,7,2,2,10,18,12,22,14,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9
2014-06-08,7,3,1,2,1,0,15,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,9
2014-06-15,4,1,0,4,0,3,12,2,3,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8
2014-06-22,2,8,0,4,0,0,9,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8
2014-06-29,3,2,3,2,4,2,8,1,21,5,0,0,0,0,0,2,2,0,0,1,0,0,0,5,5
2014-07-06,1,5,3,3,2,1,9,0,2,13,0,0,1,0,0,1,3,1,0,0,0,0,0,2,14
2014-07-13,2,6,2,1,1,8,25,0,4,5,0,0,2,0,0,0,3,4,1,2,1,2,0,12,4
2014-07-20,4,0,0,1,0,14,5,0,32,4,0,1,0,0,7,2,1,2,1,4,0,0,0,2,8
2014-07-27,0,0,1,1,1,13,8,0,0,13,0,0,0,2,10,0,1,1,0,0,0,1,1,20,17
2014-08-03,12,4,2,0,0,10,11,0,6,8,0,2,1,0,5,1,1,0,0,2,0,0,1,17,11
2014-08-10,12,6,9,1,6,9,6,1,24,2,0,2,0,1,1,0,3,0,0,0,0,0,1,19,15
2014-08-17,2,1,2,5,4,5,27,13,4,6,0,0,0,0,2,1,2,0,2,0,0,0,0,6,7
2014-08-24,13,10,0,3,5,3,14,19,6,16,0,0,0,0,3,1,0,1,0,0,0,0,0,18,9
2014-08-31,1,2,0,3,1,3,3,6,10,4,0,0,0,0,4,0,8,1,0,1,0,1,0,4,12
