ds,HOBBIES_1_001_CA_1,HOBBIES_1_001_CA_2,HOBBIES_1_001_CA_3,HOBBIES_1_001_CA_4,HOBBIES_1_002_CA_1,HOBBIES_1_004_CA_1,HOBBIES_1_004_CA_2,HOBBIES_1_004_CA_3,HOBBIES_1_004_CA_4,HOBBIES_1_005_CA_1,HOBBIES_1_002_CA_2,HOBBIES_1_002_CA_3,HOBBIES_1_002_CA_4,HOBBIES_1_003_CA_1,HOBBIES_1_003_CA_2,HOBBIES_1_003_CA_3,HOBBIES_1_003_CA_4,HOBBIES_1_005_CA_4,HOBBIES_1_006_CA_4,HOBBIES_1_007_CA_2,HOBBIES_2_016_CA_2,HOBBIES_2_122_CA_2,HOUSEHOLD_2_067_CA_4,HOUSEHOLD_1_133_CA_1,HOUSEHOLD_2_239_CA_4
2013-01-06,0,0,0,0,1,0,36,47,2,9,1,3,1,0,0,0,0,0,0,1,1,0,0,5,3
2013-01-13,0,0,0,0,1,0,16,31,5,14,2,1,1,0,0,0,0,0,0,1,1,1,0,8,7
2013-01-20,0,0,0,0,2,0,36,39,10,5,2,2,2,0,0,0,0,0,0,2,0,2,0,4,5
2013-01-27,0,0,0,0,1,6,29,28,3,13,3,2,1,0,0,0,0,0,0,3,2,0,0,10,4
2013-02-03,0,0,0,0,4,7,36,36,9,8,0,2,1,0,0,0,0,0,0,2,0,0,0,5,4
2013-02-10,0,0,0,0,1,11,24,43,8,9,1,1,2,0,0,0,0,0,0,3,2,0,0,2,0
2013-02-17,0,0,0,0,2,6,27,13,6,5,3,2,1,0,0,0,0,0,0,0,1,2,0,3,0
2013-02-24,0,0,0,0,2,8,31,33,6,6,0,2,1,0,0,0,0,0,0,1,0,0,0,15,0
2013-03-03,0,0,0,0,3,17,10,52,4,11,0,3,1,0,0,0,0,0,0,3,0,2,0,8,0
2013-03-10,0,0,0,0,2,11,25,45,10,3,1,2,2,0,0,0,0,0,0,1,0,0,0,3,0
2013-03-17,0,0,0,0,0,14,28,37,4,10,1,1,3,0,0,0,0,0,0,2,2,0,0,2,0
2013-03-24,0,0,0,0,0,15,39,47,7,7,3,4,0,0,0,0,0,0,0,1,2,0,0,3,0
2013-03-31,0,0,0,0,5,10,23,31,10,10,0,0,2,0,0,0,0,0,0,4,3,2,0,3,0
2013-04-07,0,0,0,0,1,14,26,67,3,4,0,1,1,0,0,0,0,0,0,1,2,1,0,8,3
2013-04-14,0,0,0,0,1,14,31,46,6,2,0,2,1,0,0,0,0,0,0,3,1,0,0,5,3
2013-04-21,0,0,0,0,0,7,33,46,4,12,0,4,2,0,0,0,0,0,0,3,2,0,0,3,1
2013-04-28,0,0,0,0,2,15,8,29,9,8,0,1,2,0,0,0,0,0,0,3,2,1,0,6,5
2013-05-05,0,0,0,0,2,10,21,40,4,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0
2013-05-12,0,0,0,0,3,7,37,40,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5
2013-05-19,0,0,0,0,2,15,26,39,8,12,0,0,3,0,0,0,0,0,0,2,2,2,0,5,1
2013-05-26,0,0,0,0,1,12,26,47,6,11,1,2,6,0,0,0,0,0,0,0,2,0,0,0,0
2013-06-02,0,0,0,0,0,14,40,50,6,0,0,5,3,0,0,0,0,0,0,0,1,0,0,4,6
2013-06-09,0,0,0,0,3,4,31,40,6,6,0,6,0,0,0,0,0,0,0,0,1,1,0,21,0
2013-06-16,0,0,0,0,2,6,24,34,5,8,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0
2013-06-23,0,0,0,0,2,9,41,32,4,2,1,4,4,0,0,0,0,0,0,1,19,0,0,0,0
2013-06-30,0,0,0,0,1,8,16,41,5,8,2,4,1,0,0,0,0,0,0,1,1,0,0,3,3
2013-07-07,0,0,0,0,4,4,4,13,4,6,0,4,1,0,0,0,0,0,0,1,0,0,0,2,9
2013-07-14,0,0,0,0,3,0,13,0,0,14,3,5,5,0,0,0,0,0,0,1,0,0,0,12,5
2013-07-21,1,0,0,3,2,7,36,18,4,9,2,1,0,0,0,0,0,0,0,0,0,0,0,7,4
2013-07-28,0,1,3,1,1,10,0,54,9,7,2,3,1,0,0,0,0,0,0,1,0,0,0,1,6
2013-08-04,3,1,6,1,0,14,18,54,10,4,1,2,3,0,0,0,0,0,0,0,1,0,0,5,7
2013-08-11,2,3,2,1,3,17,36,42,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2013-08-18,5,5,9,2,3,9,37,43,6,6,1,0,4,0,0,0,0,0,0,0,0,3,0,2,7
2013-08-25,1,3,6,4,2,9,39,48,6,10,2,3,1,0,0,0,0,0,0,1,0,1,0,0,9
2013-09-01,2,7,3,1,2,9,23,54,6,11,1,2,0,0,0,0,0,0,0,0,1,0,0,21,9
