,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,DESCRIPTION,CATEGORY,SUB_CATEGORY
0,2009-01-14,367,1111085319,14,13,13,26.32,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
1,2009-01-14,367,1111085350,35,27,25,69.3,1.98,1.98,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2,2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
3,2009-01-14,367,1600027528,31,26,19,142.29,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
4,2009-01-14,367,1600027564,56,48,42,152.32,2.72,3.07,1,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
5,2009-01-14,367,3000006340,19,17,17,38.76,2.04,2.74,0,0,1,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
6,2009-01-14,367,3800031829,14,11,3,43.96,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
7,2009-01-21,367,1111085319,12,12,12,22.68,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
8,2009-01-21,367,1111085350,33,25,25,66.0,2.0,2.0,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
9,2009-01-21,367,1600027527,7,7,7,22.33,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
10,2009-01-21,367,1600027528,24,19,11,110.16,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
11,2009-01-21,367,1600027564,36,23,23,96.48,2.68,3.07,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
12,2009-01-21,367,3000006340,9,8,7,23.22,2.58,2.58,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
13,2009-01-21,367,3800031829,17,13,6,53.38,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
14,2009-01-28,367,1111085319,18,17,16,33.66,1.87,1.87,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
15,2009-01-28,367,1111085350,30,21,20,60.3,2.01,2.01,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
16,2009-01-28,367,1600027527,9,9,9,28.71,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
17,2009-01-28,367,1600027528,27,21,7,123.93,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
18,2009-01-28,367,1600027564,20,20,15,63.8,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
19,2009-01-28,367,3000006340,3,3,2,8.22,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
20,2009-01-28,367,3800031829,23,19,8,72.22,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
21,2009-02-04,367,1111085319,13,13,13,24.44,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
22,2009-02-04,367,1111085350,38,31,30,75.62,1.99,1.99,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
23,2009-02-04,367,1600027527,18,17,16,57.42,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
24,2009-02-04,367,1600027528,28,24,13,128.52,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
25,2009-02-04,367,1600027564,16,14,10,51.04,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
26,2009-02-04,367,3000006340,5,5,2,13.7,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
27,2009-02-04,367,3800031829,25,23,10,78.5,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
28,2009-02-11,367,1111085319,16,16,16,29.92,1.87,1.87,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
29,2009-02-11,367,1111085350,38,27,26,74.86,1.97,1.97,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
30,2009-02-11,367,1600027527,243,187,179,403.38,1.66,3.19,1,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
31,2009-02-11,367,1600027528,101,84,69,288.86,2.86,4.59,0,1,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
32,2009-02-11,367,1600027564,13,12,12,22.36,1.72,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
33,2009-02-11,367,3000006340,8,8,6,21.92,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
34,2009-02-11,367,3800031829,23,19,11,72.22,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
35,2009-02-18,367,1111085319,9,5,5,14.49,1.61,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
36,2009-02-18,367,1111085350,15,14,14,35.85,2.39,2.39,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
37,2009-02-18,367,1600027527,146,117,115,245.28,1.68,3.19,0,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
38,2009-02-18,367,1600027528,55,44,40,146.85,2.67,4.59,0,1,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
39,2009-02-18,367,1600027564,19,19,19,28.69,1.51,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
40,2009-02-18,367,3000006340,5,5,5,13.7,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
41,2009-02-18,367,3800031829,16,13,6,50.24,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
42,2009-02-25,367,1111085319,22,20,20,36.52,1.66,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
43,2009-02-25,367,1111085350,17,14,14,40.12,2.36,2.36,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
44,2009-02-25,367,1600027527,131,105,103,217.46,1.66,3.19,1,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
45,2009-02-25,367,1600027528,27,24,12,123.93,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
46,2009-02-25,367,1600027564,24,22,20,63.84,2.66,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
47,2009-02-25,367,3000006340,3,3,2,8.22,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
48,2009-02-25,367,3800031829,17,13,7,53.38,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
49,2009-03-04,367,1111085319,2,2,2,3.22,1.61,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
50,2009-03-04,367,1111085350,15,15,15,35.4,2.36,2.36,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
51,2009-03-04,367,1600027527,32,26,26,55.04,1.72,3.19,0,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
52,2009-03-04,367,1600027528,24,23,17,110.16,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
53,2009-03-04,367,1600027564,22,19,17,54.34,2.47,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
54,2009-03-04,367,3000006340,7,6,4,19.18,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
55,2009-03-04,367,3800031829,31,25,6,97.34,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
56,2009-03-11,367,1111085319,32,25,25,52.8,1.65,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
57,2009-03-11,367,1111085350,22,15,15,52.36,2.38,2.38,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
58,2009-03-11,367,1600027527,18,18,18,54.18,3.01,3.01,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
59,2009-03-11,367,1600027528,16,15,9,73.44,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
60,2009-03-11,367,1600027564,31,29,24,83.08,2.68,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
61,2009-03-11,367,3000006340,9,9,4,24.66,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
62,2009-03-11,367,3800031829,34,28,14,106.76,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
63,2009-03-18,367,1111085319,19,18,18,31.54,1.66,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
64,2009-03-18,367,1111085350,17,16,16,40.12,2.36,2.36,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
65,2009-03-18,367,1600027527,18,17,17,54.36,3.02,3.02,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
66,2009-03-18,367,1600027528,16,13,8,73.44,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
67,2009-03-18,367,1600027564,39,31,25,118.17,3.03,3.03,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
68,2009-03-18,367,3000006340,6,6,5,16.44,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
69,2009-03-18,367,3800031829,29,24,15,79.46,2.74,3.14,1,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
70,2009-03-25,367,1111085319,29,27,25,47.56,1.64,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
71,2009-03-25,367,1111085350,15,13,13,35.85,2.39,2.39,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
72,2009-03-25,367,1600027527,8,7,7,22.72,2.84,2.84,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
73,2009-03-25,367,1600027528,28,26,13,128.52,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
74,2009-03-25,367,1600027564,28,26,21,76.44,2.73,2.73,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
75,2009-03-25,367,3000006340,7,7,5,19.18,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
76,2009-03-25,367,3800031829,30,26,13,85.8,2.86,3.14,1,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
77,2009-04-01,367,1111085319,12,12,12,22.56,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
78,2009-04-01,367,1111085350,21,16,16,42.0,2.0,2.39,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
79,2009-04-01,367,1600027527,7,7,7,15.96,2.28,2.84,0,0,1,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
80,2009-04-01,367,1600027528,26,23,13,119.34,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
81,2009-04-01,367,1600027564,28,26,20,82.88,2.96,2.96,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
82,2009-04-01,367,3000006340,10,10,6,26.2,2.62,2.62,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
83,2009-04-01,367,3800031829,37,31,14,106.93,2.89,2.89,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
84,2009-04-08,367,1111085319,16,15,15,30.08,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
85,2009-04-08,367,1111085350,21,18,18,41.16,1.96,2.39,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
86,2009-04-08,367,1600027527,19,19,19,54.53,2.87,2.87,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
87,2009-04-08,367,1600027528,18,13,8,82.62,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
88,2009-04-08,367,1600027564,39,32,25,114.66,2.94,2.94,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
89,2009-04-08,367,3000006340,24,19,16,61.2,2.55,2.62,1,1,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
90,2009-04-08,367,3800031829,29,25,14,91.06,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
91,2009-04-15,367,1111085319,17,15,15,32.13,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
