,id,country,shipment_mode,scheduled_delivery_date,sub_classification,vendor,item_id,item_description,brand,line_item_quantity,line_item_value,unit_price,weight_kilograms,freight_cost_usd,line_item_insurance_usd,item_insurance_rp_mean,item_insurance_rp_kNN,line_item_quantity_norm,line_item_quantity_z,line_item_value_norm,line_item_value_z,line_item_value_log,line_item_value_sqrt,line_item_value_boxcox,Air,Air Charter,Ocean,Truck,missing,weight_category
0,1,Côte d'Ivoire,Air,2006-06-02,HIV test,RANBAXY Fine Chemicals LTD.,SKU0000,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",Reveal,19,551.0,0.97,13.0,780.34,,240.11762578459656,0.725,2.9032351717263603e-05,-0.4574346518076545,9.257407404420544e-05,-0.4549758953963649,6.313548046277095,23.473389188611005,9.05564649437687,1,0,0,0,0,light
1,3,Vietnam,Air,2006-11-14,Pediatric,Aurobindo Pharma Limited,SKU0001,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Generic,1000,6200.0,0.03,358.0,4521.5,,240.11762578459656,8.955,0.0016112955203081301,-0.4329312778493381,0.0010416683467769034,-0.43861583230708984,8.732465848349879,78.74007874011811,14.52763244498434,1,0,0,0,0,medium
2,4,Côte d'Ivoire,Air,2006-08-27,HIV test,Abbott GmbH & Co. KG,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,500,40000.0,0.8,171.0,1653.78,,240.11762578459656,71.2,0.0008048413059396966,-0.44542025540199687,0.0067204409469477635,-0.3407276870747481,10.596659732783579,200.0,19.837478290911086,1,0,0,0,0,medium
3,15,Vietnam,Air,2006-09-01,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,31920,127360.8,0.07,1855.0,16007.06,,240.11762578459656,194.285,0.051482424136852056,0.33938709400707706,0.021398018383900617,-0.0877221640565954,11.754787134144166,356.87644920896645,23.717741817249777,1,0,0,0,0,super-heavy
4,16,Vietnam,Air,2006-08-11,Adult,Aurobindo Pharma Limited,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,38000,121600.0,0.05,7590.0,45450.08,,240.11762578459656,238.57,0.061288907383572205,0.49125306104740707,0.0204301404787212,-0.1044060110108698,11.7085004721646,348.7119154832539,23.55315921338671,1,0,0,0,0,super-heavy
5,23,Nigeria,Air,2006-09-28,Pediatric,Aurobindo Pharma Limited,SKU0005,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,416,2225.6,0.02,504.0,5920.42,,240.11762578459656,2.28,0.0006693569979257998,-0.4475184036308435,0.0003739253342881735,-0.4501260880589069,7.708231037294607,47.17626521885767,12.035014176741159,1,0,0,0,0,heavy
6,44,Zambia,Air,2007-01-08,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),SKU0006,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Stocrin/Sustiva,135,4374.0,0.36,328.0,,,240.11762578459656,4.96,0.00021612972945074017,-0.4545372090154377,0.000734880217548738,-0.4439041090288134,8.383661798791715,66.1362230551458,13.647595398050202,1,0,0,0,0,medium
7,45,Tanzania,Air,2006-11-24,Adult,Aurobindo Pharma Limited,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,16667,60834.55,0.06,1478.0,6212.41,,240.11762578459656,90.61500000000001,0.026880731873328623,-0.04160165521432982,0.010220875020228526,-0.2803887682507692,11.015929601028878,246.64660954491146,21.186451435309586,1,0,0,0,0,super-heavy
8,46,Nigeria,Air,2006-12-07,Adult,Aurobindo Pharma Limited,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,273,532.35,0.03,,,,240.11762578459656,0.55,0.0004387110926164278,-0.4510902512109039,8.944066845269105e-05,-0.455029907642181,6.279177869071492,23.072711154088502,8.98774733633238,1,0,0,0,0,
9,47,Zambia,Air,2007-01-30,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,2800,115080.0,0.34,643.0,,,240.11762578459656,193.615,0.004514530692034491,-0.3879709586597667,0.019334708604368714,-0.1232885763042091,11.653391507234959,339.23443221465595,23.358278123741602,1,0,0,0,0,heavy
10,60,Zambia,Air,2007-02-16,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,2800,115080.0,0.34,643.0,,,240.11762578459656,193.615,0.004514530692034491,-0.3879709586597667,0.019334708604368714,-0.1232885763042091,11.653391507234959,339.23443221465595,23.358278123741602,1,0,0,0,0,heavy
11,61,Zambia,Air,2007-01-08,HIV test,"Trinity Biotech, Plc",SKU0009,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,2500,100000.0,2.0,853.0,13569.49,,240.11762578459656,121.43,0.004030658163413431,-0.395464345191362,0.016801102367369408,-0.16696174879248463,11.51293546492023,316.22776601683796,22.86680535798484,1,0,0,0,0,heavy
12,62,Nigeria,Air,2007-01-10,HIV test,EY Laboratories,SKU0010,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests",InstantCHEK,10,850.0,0.85,,,,240.11762578459656,1.03,1.4516175858631801e-05,-0.45765945340360237,0.00014280937012263998,-0.454109961803925,6.7464121285733745,29.154759474226502,9.932737008597776,1,0,0,0,0,
13,64,Rwanda,Air,2007-02-27,Adult,CIPLA LIMITED,SKU0011,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,10000,99800.0,0.17,7416.0,64179.42,,240.11762578459656,121.43,0.016127471378939932,-0.20812968190148118,0.01676750016263467,-0.16754096858675885,11.510933482289435,315.91137997862626,22.859853991442264,1,0,0,0,0,super-heavy
14,65,Haiti,Air,2007-01-18,HIV test,Abbott GmbH & Co. KG,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,750,60000.0,0.8,256.0,1760.32,,240.11762578459656,117.72999999999999,0.0012080684131239134,-0.4391757666256675,0.010080661420421645,-0.28280570764732693,11.002116507732017,244.94897427831782,21.1410276067485,1,0,0,0,0,medium
15,68,Zimbabwe,Air,2007-03-19,Pediatric,BRISTOL-MYERS SQUIBB,SKU0012,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Videx,579,14764.5,0.42,,,,240.11762578459656,24.82,0.000932261071809909,-0.4434469969486768,0.0024805987590302563,-0.4138121926667824,9.600048657471909,121.50925890647181,16.866066571521813,1,0,0,0,0,
16,69,Nigeria,missing,2007-05-07,HIV test,ACCOUN NIGERIA LIMITED,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,1500,120000.0,0.8,,,192.0,192.0,192.0,0.0024177497346765634,-0.4204423002966794,0.02016132284084329,-0.10903976936506349,11.695255355062795,346.41016151377545,23.50621461561248,0,0,0,0,1,
17,80,Rwanda,Air,2007-03-29,HIV test,Premier Medical Corporation Ltd.,SKU0013,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",First Response,2000,33000.0,0.55,710.0,3120.7,,240.11762578459656,37.385,0.003224203949044997,-0.4079533227440207,0.005544363781231905,-0.36100037987434547,10.404293143019792,181.6590212458495,19.238724246635275,1,0,0,0,0,heavy
