Week,P1_Ending_Inv,P1_Order,P2_Ending_Inv,P2_Order
1,29,51,29,41
2,13,0,13,0
3,0,0,0,29
4,34,0,24,0
5,23,57,13,28
6,0,0,19,0
7,-17,0,2,40
8,20,60,10,0
9,4,0,-6,36
10,-6,0,24,0
11,33,0,3,31
12,13,67,19,0
13,1,0,7,32
14,-14,0,23,0
15,38,0,8,30
16,22,58,24,0
17,1,0,3,37
18,-20,0,12,0
19,15,65,-11,44
20,3,0,14,0
21,-12,0,-1,27
22,30,0,20,0
23,18,62,8,35
24,4,0,21,0
25,-14,0,3,32
26,31,0,21,0
27,12,68,2,36
28,-5,0,17,0
29,-26,0,-4,38
30,25,55,15,0
31,3,0,-7,39
32,-14,0,14,0
33,27,53,0,31
34,13,0,25,0
35,-3,0,9,30
36,33,0,23,0
37,18,62,8,32
38,1,0,21,0
39,-19,0,1,37
40,32,0,22,0
41,19,61,9,0
42,8,0,35,35
43,-8,0,19,0
44,38,0,4,31
45,20,60,21,0
46,6,0,7,32
47,-13,0,19,0
48,28,52,0,38
49,12,0,16,0
50,-8,0,-4,36
51,25,55,15,55
52,3,77,-7,77
