area_code,area,item_code,item,element_code,element,unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
9,Argentina,44,Barley,5312,Area harvested,ha,247830,246490,250760,334348,275307,267450,337592,416325,570125,502640,746435,1121278,1694545,1203306,888873
9,Argentina,44,Barley,5419,Yield,hg/ha,29153,21504,21927,30072,32495,29891,37574,35417,29500,26974,39710,36439,30440,39102,32642
9,Argentina,44,Barley,5510,Production,tonnes,722490,530045,549830,1005460,894610,799423,1268465,1474510,1681880,1355801,2964075,4085770,5158180,4705160,2901492
9,Argentina,44,Barley,5525,Seed,tonnes,30800,31700,40500,33000,32500,40303,48391,64815,59937,83096,128385,128385,128385,,
19,Bolivia (Plurinational State of),44,Barley,5312,Area harvested,ha,88569,89476,88140,90325,90918,92083,92619,93260,93991,55943,57451,57834,53133,57240,59751
19,Bolivia (Plurinational State of),44,Barley,5419,Yield,hg/ha,7514,7633,7057,7745,7989,8036,8122,7784,7791,8510,8584,8746,9764,7955,7401
19,Bolivia (Plurinational State of),44,Barley,5510,Production,tonnes,66550,68300,62204,69955,72636,73996,75226,72589,73228,47608,49314,50580,51877,45535,44224
19,Bolivia (Plurinational State of),44,Barley,5525,Seed,tonnes,8163,8153,7933,7896,8000,8000,8100,8100,8100,8100,8100,8100,7500,8000,
21,Brazil,44,Barley,5312,Area harvested,ha,143779,142985,147397,119224,142144,144511,82177,100298,79270,77452,84118,88236,102749,88321,89451
21,Brazil,44,Barley,5419,Yield,hg/ha,17879,20827,16595,28964,27941,22576,24695,23488,29887,25984,33115,34439,25793,37441,28120
21,Brazil,44,Barley,5510,Production,tonnes,257068,297798,244600,345320,397160,326251,202940,235577,236912,201249,278558,303872,265025,330682,251539
21,Brazil,44,Barley,5525,Seed,tonnes,14299,15457,11943,14219,14451,9127,10030,7927,7745,8412,8824,10296,8841,9110,
33,Canada,44,Barley,5312,Area harvested,ha,4468100,4149500,3341800,4397100,3840700,3634000,3222900,3997700,3501600,2917600,2387200,2364800,2060000,2652300,2136100
33,Canada,44,Barley,5419,Yield,hg/ha,29607,26137,22346,27664,32694,32134,29703,27476,33646,32620,31859,32796,38895,38597,33327
33,Canada,44,Barley,5510,Production,tonnes,13228600,10845600,7467700,12164200,12556700,11677600,9573100,10983900,11781400,9517200,7605300,7755700,8012300,10237100,7119000
33,Canada,44,Barley,5525,Seed,tonnes,406000,453100,441700,409000,363000,324000,382000,330300,306000,246000,225000,257000,318000,320000,
40,Chile,44,Barley,5312,Area harvested,ha,17208,15370,17450,17530,11630,21500,29060,18540,20623,18513,16854,20184,14806,13202,15677
40,Chile,44,Barley,5419,Yield,hg/ha,34658,42586,44213,43930,48285,47636,47041,47408,46486,39661,57773,60782,51249,60302,52529
40,Chile,44,Barley,5510,Production,tonnes,59639,65454,77151,77010,56156,102417,136700,87895,95869,73424,97370,122682,75879,79611,82350
40,Chile,44,Barley,5525,Seed,tonnes,2306,2618,2630,1745,3225,4359,2781,3093,2777,2528,3028,2221,1980,1980,
44,Colombia,44,Barley,5312,Area harvested,ha,7448,4030,6435,4485,5539,5606,4611,4897,5669,7283,6383,3191,4063,6060,6179
44,Colombia,44,Barley,5419,Yield,hg/ha,16502,13958,16657,15525,15111,16158,14294,15785,19478,24121,18404,17158,20399,21416,22443
44,Colombia,44,Barley,5510,Production,tonnes,12291,5625,10719,6963,8370,9058,6591,7730,11042,17567,11747,5475,8288,12978,13868
44,Colombia,44,Barley,5525,Seed,tonnes,363,579,404,499,505,415,441,510,655,574,287,366,545,545,
58,Ecuador,44,Barley,5312,Area harvested,ha,44772,44680,45860,37009,34286,40536,37379,38825,32790,35254,26374,28806,20017,26325,15688
58,Ecuador,44,Barley,5419,Yield,hg/ha,5611,5900,6342,6151,6427,5653,6270,6378,5475,6077,7103,8576,5476,8036,9236
58,Ecuador,44,Barley,5510,Production,tonnes,25121,26361,29085,22763,22037,22914,23438,24762,17954,21423,18733,24704,10962,21154,14490
58,Ecuador,44,Barley,5525,Seed,tonnes,4410,5120,4931,4703,4900,4200,4300,3700,3494,3700,3500,2500,2082,2082,
89,Guatemala,44,Barley,5312,Area harvested,ha,1700,1760,1480,1250,1300,1195,1000,949,1070,1090,1100,1119,1100,1100,1000
89,Guatemala,44,Barley,5419,Yield,hg/ha,8535,8523,8448,8000,8077,9207,10000,10781,11507,12118,13182,12649,12727,12727,13000
89,Guatemala,44,Barley,5510,Production,tonnes,1451,1500,1251,1000,1050,1100,1000,1023,1231,1321,1450,1415,1400,1400,1300
89,Guatemala,44,Barley,5525,Seed,tonnes,88,90,63,65,62,50,37,43,53,55,56,55,55,55,
138,Mexico,44,Barley,5312,Area harvested,ha,290380,310702,282336,364500,325800,306095,315432,286354,310770,239056,267668,218344,328191,296912,313634
138,Mexico,44,Barley,5419,Yield,hg/ha,24541,24530,26091,29756,28591,24851,27559,22807,25137,21704,25119,22325,31431,20021,26965
138,Mexico,44,Barley,5510,Production,tonnes,712619,762156,736629,1084600,931500,760691,869297,653074,781179,518850,672367,487448,1031533,594437,845707
138,Mexico,44,Barley,5525,Seed,tonnes,16375,17320,18675,16610,16635,16136,15014,16460,16493,15450,16703,16788,16047,16050,
170,Peru,44,Barley,5312,Area harvested,ha,155584,153833,154179,151076,143118,150716,149913,143062,146928,156753,154005,148062,151176,154127,150826
170,Peru,44,Barley,5419,Yield,hg/ha,11928,11550,12844,12822,12379,12811,12783,12406,12658,13606,14038,13590,14188,14568,15005
170,Peru,44,Barley,5510,Production,tonnes,185577,177671,198032,193717,177169,193085,191627,177479,185981,213279,216193,201218,214489,224533,226310
170,Peru,44,Barley,5525,Seed,tonnes,17530,19053,18286,16121,17968,16943,17789,16919,21300,22000,24000,18000,18000,18000,
231,United States of America,44,Barley,5312,Area harvested,ha,2104388,1729240,1668537,1912970,1627260,1322930,1194240,1417224,1529324,1259800,997560,906092,1312801,1230260,1010510
231,United States of America,44,Barley,5419,Yield,hg/ha,32880,31266,29608,31672,37428,34873,32846,32278,34195,39287,39345,37432,36533,38358,39115
231,United States of America,44,Barley,5510,Production,tonnes,6919229,5406619,4940197,6058777,6090565,4613400,3922552,4574520,5229590,4949370,3924870,3391683,4796081,4719070,3952610
231,United States of America,44,Barley,5525,Seed,tonnes,178534,181100,188900,161900,139300,124536,143020,152426,128019,108751,104288,130365,140000,140000,
234,Uruguay,44,Barley,5312,Area harvested,ha,88600,129000,102800,117700,136600,78100,127500,138200,129900,140573,61900,104600,117300,99500,99000
234,Uruguay,44,Barley,5419,Yield,hg/ha,24142,9124,21144,27502,29758,31024,33890,22446,31524,33013,30113,31252,18755,20131,24545
234,Uruguay,44,Barley,5510,Production,tonnes,213900,117700,217360,323700,406500,242300,432100,310200,409500,464071,186400,326900,220000,200300,243000
234,Uruguay,44,Barley,5525,Seed,tonnes,14190,11308,12947,15026,8591,14025,15202,14289,15463,6809,11506,12903,6600,6600,
21,Brazil,782,"Bastfibres, other",5312,Area harvested,ha,3759,4810,5844,6421,7094,12489,12682,12415,9430,9415,10470,11263,6589,6612,5856
21,Brazil,782,"Bastfibres, other",5419,Yield,hg/ha,15821,12202,14730,13984,14546,16145,15691,15542,13388,14927,12623,13860,12850,14371,13883
21,Brazil,782,"Bastfibres, other",5510,Production,tonnes,5947,5869,8608,8979,10319,20164,19899,19296,12625,14054,13216,15611,8467,9502,8130
40,Chile,782,"Bastfibres, other",5312,Area harvested,ha,12262,12026,11324,11000,11500,12000,11947,11795,11591,11358,11123,10917,11000,11500,11087
40,Chile,782,"Bastfibres, other",5419,Yield,hg/ha,9737,9900,9893,10000,10000,10000,9684,9572,9452,9326,9196,9062,8636,8391,8604
40,Chile,782,"Bastfibres, other",5510,Production,tonnes,11940,11906,11202,11000,11500,12000,11569,11290,10955,10592,10229,9893,9500,9650,9539
49,Cuba,782,"Bastfibres, other",5312,Area harvested,ha,2714,2525,2370,2241,2128,2035,1955,1886,1878,1855,1830,1805,1800,1850,1800
49,Cuba,782,"Bastfibres, other",5419,Yield,hg/ha,36854,39625,42235,44690,46991,49134,51140,53030,54831,56567,58260,59932,61111,63784,62222
49,Cuba,782,"Bastfibres, other",5510,Production,tonnes,10003,10007,10012,10016,10000,10000,10000,10000,10296,10492,10659,10815,11000,11800,11200
60,El Salvador,782,"Bastfibres, other",5312,Area harvested,ha,3700,3800,3552,3393,3150,3130,3010,2332,1779,1798,1816,1836,1856,1876,1897
60,El Salvador,782,"Bastfibres, other",5419,Yield,hg/ha,7568,7895,8294,8301,8441,8306,8070,8009,7899,7790,7680,7570,7460,7350,7240
60,El Salvador,782,"Bastfibres, other",5510,Production,tonnes,2800,3000,2946,2817,2659,2600,2429,1867,1406,1400,1395,1390,1384,1379,1374
89,Guatemala,782,"Bastfibres, other",5312,Area harvested,ha,390,400,400,400,380,390,340,430,420,330,373,383,400,400,400
89,Guatemala,782,"Bastfibres, other",5419,Yield,hg/ha,10000,10000,10000,10000,9557,9349,9117,8645,8345,7851,7606,7388,6875,6875,7000
89,Guatemala,782,"Bastfibres, other",5510,Production,tonnes,390,400,400,400,363,365,310,372,351,259,284,283,275,275,280
9,Argentina,176,"Beans, dry",5312,Area harvested,ha,276170,257050,256750,185400,120525,142660,235090,251190,254940,276670,268105,272745,299963,144540,350150
9,Argentina,176,"Beans, dry",5419,Yield,hg/ha,10760,10231,10832,11626,12552,11864,13730,13068,13210,11313,12611,12201,12040,6649,12276
9,Argentina,176,"Beans, dry",5510,Production,tonnes,297157,262985,278100,215550,151278,169257,322775,328249,336779,312998,338120,332782,361153,96109,429832
9,Argentina,176,"Beans, dry",5525,Seed,tonnes,19240,18382,14429,9366,10192,16472,17590,17858,19528,18787,19100,19100,19100,19100,
14,Barbados,176,"Beans, dry",5312,Area harvested,ha,60,65,70,90,39,60,65,40,30,30,39,47,38,19,19
14,Barbados,176,"Beans, dry",5419,Yield,hg/ha,56667,56154,56286,56111,62462,57167,57077,63000,56000,55333,57416,57995,57968,58013,58057
14,Barbados,176,"Beans, dry",5510,Production,tonnes,340,365,394,505,244,343,371,252,168,166,222,270,219,112,113
14,Barbados,176,"Beans, dry",5525,Seed,tonnes,35,37,40,50,25,40,25,18,18,25,30,30,30,30,
23,Belize,176,"Beans, dry",5312,Area harvested,ha,6345,7443,6500,6180,5181,6000,5540,5400,5547,6168,8088,6768,8386,10131,8837
