quarter_ending,HSC_trust,specialty,program,0-6_weeks,>6-13_weeks,>13-21_weeks,>21-26_weeks,>26-52_weeks,>52_weeks,>26-30_weeks
30-Jun-07,Belfast,General Surgery,Acute Services,309,218,138,6,0,,--
30-Jun-07,Belfast,Urology,Acute Services,483,301,116,3,0,,--
30-Jun-07,Belfast,T & O Surgery,Acute Services,158,211,110,36,0,,--
30-Jun-07,Belfast,ENT,Acute Services,121,159,72,1,0,,--
30-Jun-07,Belfast,Ophthalmology,Acute Services,905,846,405,19,0,,--
30-Jun-07,Belfast,Oral Surgery,Acute Services,47,30,16,3,0,,--
30-Jun-07,Belfast,Paediatric Dentistry,Acute Services,44,19,10,0,0,,--
30-Jun-07,Belfast,Neurosurgery,Acute Services,1,1,1,1,0,,--
30-Jun-07,Belfast,Plastic Surgery,Acute Services,68,49,35,1,0,,--
30-Jun-07,Belfast,Paediatric Surgery,Acute Services,92,84,38,3,0,,--
30-Jun-07,Belfast,Thoracic Surgery,Acute Services,10,1,0,0,0,,--
30-Jun-07,Belfast,Accident & Emergency,Acute Services,27,2,0,0,0,,--
30-Jun-07,Belfast,Anaesthetics,Acute Services,14,15,0,0,0,,--
30-Jun-07,Belfast,Pain Management,Acute Services,156,106,41,1,0,,--
30-Jun-07,Belfast,General Medicine,Acute Services,149,76,26,0,0,,--
30-Jun-07,Belfast,Gastroenterology,Acute Services,376,183,79,3,0,,--
30-Jun-07,Belfast,Endocrinology,Acute Services,11,4,5,0,0,,--
30-Jun-07,Belfast,Cardiology,Acute Services,210,117,80,6,0,,--
30-Jun-07,Belfast,Dermatology,Acute Services,34,20,13,3,0,,--
30-Jun-07,Belfast,Nephrology,Acute Services,34,18,3,0,0,,--
30-Jun-07,Belfast,Rheumatology,Acute Services,6,6,11,2,0,,--
30-Jun-07,Belfast,Gynaecology,Acute Services,213,134,53,6,0,,--
30-Jun-07,Belfast,GP Other,Acute Services,9,0,0,0,0,,--
30-Jun-07,Belfast,Radiology,Acute Services,1,3,1,0,0,,--
30-Jun-07,Belfast,Child & Adolescent Psychiatry,Mental Health,0,0,1,0,0,,--
30-Jun-07,Northern,General Surgery,Acute Services,"1,023",721,389,23,0,,--
30-Jun-07,Northern,Urology,Acute Services,52,78,81,0,0,,--
30-Jun-07,Northern,ENT,Acute Services,43,29,2,0,0,,--
30-Jun-07,Northern,Oral Surgery,Acute Services,4,6,1,0,0,,--
30-Jun-07,Northern,Pain Management,Acute Services,62,73,43,3,0,,--
30-Jun-07,Northern,General Medicine,Acute Services,201,64,13,0,0,,--
30-Jun-07,Northern,Gastroenterology,Acute Services,368,351,144,23,0,,--
