id,country,fulfill_via,shipment_mode,scheduled_delivery_date,sub_classification,line_item_quantity,line_item_value,weight_kilograms,freight_cost_usd,line_item_insurance_usd
81483,Vietnam,Direct Drop,Air,2012-11-12,Adult,525,3465,34,807.47,4.86
11078,Mozambique,From RDC,Air,2010-02-23,Adult,1788,5721.6,205,1380.45,12.34
11079,Nigeria,From RDC,Air,2010-02-19,Adult,5,58.75,1,19480.97,0.13
11361,Tanzania,From RDC,Truck,2010-01-14,Adult,6376,136573.92,640,2751,294.45
12021,Ethiopia,From RDC,Air,2010-01-13,Adult,25540,74066,2031,6774.59,159.69
12620,Mozambique,From RDC,Air,2010-01-06,Adult,735,1073.1,47,955.36,2.31
12929,Kenya,Direct Drop,Air,2010-02-16,HIV test,1,80,1028,10083.69,0.17
12935,Vietnam,Direct Drop,Air,2014-01-09,Adult,11092,74871,957,1869.41,92.62
12959,Zambia,Direct Drop,Air,2015-05-12,HIV test,6280,502400,2548,28709.52,516.47
12973,Haiti,Direct Drop,Air,2012-06-12,Pediatric,298,685.4,21,304.62,0.96
12981,South Sudan,Direct Drop,Air,2013-08-16,HIV test,90,8010,39,1434.98,9.91
13004,Mozambique,Direct Drop,Air,2015-04-15,Adult,400,2740,62,642.99,3.22
13007,Burundi,Direct Drop,Air,2013-06-10,HIV test,1468,117440,638,12922.07,145.27
13016,Burundi,Direct Drop,Air,2012-06-01,HIV test,305,7777.5,34,836.8,10.9
13020,Haiti,Direct Drop,Air,2012-01-30,Malaria,3,49.5,1,969.55,0.07
13027,Vietnam,Direct Drop,Air,2014-07-29,Adult,5300,18550,2922,5616.02,19.07
13038,South Africa,Direct Drop,Ocean,2011-09-14,Pediatric,54768,133633.92,3237,10923.46,220.5
13093,Vietnam,Direct Drop,Air,2013-10-11,Adult,11500,132135,1295,2021.05,163.45
13106,Vietnam,Direct Drop,Air,2014-09-16,Adult,16000,56800,1948,3138.25,58.39
13138,Nigeria,Direct Drop,Air,2013-01-09,HIV test,2744,244216,1186,25193.28,342.39
13161,South Africa,Direct Drop,Air,2010-08-24,Adult,56877,265615.59,4815,5886.9,572.67
13275,Vietnam,Direct Drop,Air,2015-07-13,Adult,17760,177600,2516,3816.3,209.04
13302,Rwanda,Direct Drop,Air,2010-11-02,Adult,138422,1211192.5,13147,4781.8,2611.33
13311,Cote d'Ivoire,Direct Drop,Air,2012-03-29,HIV test,2000,160000,957,18919.56,224.32
13379,Malawi,Direct Drop,Ocean,2013-06-21,Adult,243800,2801262,27549,24875.46,3465.16
13487,Haiti,Direct Drop,Ocean,2015-03-13,Adult,25000,256000,3034,7658.27,263.17
13544,Cote d'Ivoire,Direct Drop,Air,2014-11-03,Pediatric,500,15410,505,6523.85,15.84
13547,"Congo, DRC",Direct Drop,Air,2014-11-04,HIV test,77,2464,509,8021.11,2.53
15356,Sudan,Direct Drop,Air,2012-02-08,HIV test,35,1120,12,646.81,1.85
13555,Vietnam,Direct Drop,Air,2015-02-05,Adult,13000,105300,2672,2504.64,108.25
