,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE
0,2.5,1111085319,1.5,2.25,1,1,1,0.6
1,2.5,1111085319,2.0,4.0,1,1,1,0.8
2,2.5,1111085319,2.5,6.25,1,1,1,1.0
3,2.5,1111085319,3.0,9.0,1,1,1,1.2
4,2.5,1111085319,3.5,12.25,1,1,1,1.4
5,2.5,1111085319,4.0,16.0,1,1,1,1.6
6,2.5,1111085319,4.5,20.25,1,1,1,1.8
7,2.5,1111085319,5.0,25.0,1,1,1,2.0
8,3.0,1111085319,1.5,2.25,1,1,1,0.5
9,3.0,1111085319,2.0,4.0,1,1,1,0.6666666666666666
10,3.0,1111085319,2.5,6.25,1,1,1,0.8333333333333334
11,3.0,1111085319,3.0,9.0,1,1,1,1.0
12,3.0,1111085319,3.5,12.25,1,1,1,1.1666666666666667
13,3.0,1111085319,4.0,16.0,1,1,1,1.3333333333333333
14,3.0,1111085319,4.5,20.25,1,1,1,1.5
15,3.0,1111085319,5.0,25.0,1,1,1,1.6666666666666667
16,3.25,1111085319,1.5,2.25,1,1,1,0.46153846153846156
17,3.25,1111085319,2.0,4.0,1,1,1,0.6153846153846154
18,3.25,1111085319,2.5,6.25,1,1,1,0.7692307692307693
19,3.25,1111085319,3.0,9.0,1,1,1,0.9230769230769231
20,3.25,1111085319,3.5,12.25,1,1,1,1.0769230769230769
21,3.25,1111085319,4.0,16.0,1,1,1,1.2307692307692308
22,3.25,1111085319,4.5,20.25,1,1,1,1.3846153846153846
23,3.25,1111085319,5.0,25.0,1,1,1,1.5384615384615385
24,3.5,1111085319,1.5,2.25,1,1,1,0.42857142857142855
25,3.5,1111085319,2.0,4.0,1,1,1,0.5714285714285714
26,3.5,1111085319,2.5,6.25,1,1,1,0.7142857142857143
27,3.5,1111085319,3.0,9.0,1,1,1,0.8571428571428571
28,3.5,1111085319,3.5,12.25,1,1,1,1.0
29,3.5,1111085319,4.0,16.0,1,1,1,1.1428571428571428
30,3.5,1111085319,4.5,20.25,1,1,1,1.2857142857142858
31,3.5,1111085319,5.0,25.0,1,1,1,1.4285714285714286
32,2.5,1111085350,1.5,2.25,1,1,1,0.6
33,2.5,1111085350,2.0,4.0,1,1,1,0.8
34,2.5,1111085350,2.5,6.25,1,1,1,1.0
35,2.5,1111085350,3.0,9.0,1,1,1,1.2
36,2.5,1111085350,3.5,12.25,1,1,1,1.4
37,2.5,1111085350,4.0,16.0,1,1,1,1.6
38,2.5,1111085350,4.5,20.25,1,1,1,1.8
39,2.5,1111085350,5.0,25.0,1,1,1,2.0
40,3.0,1111085350,1.5,2.25,1,1,1,0.5
41,3.0,1111085350,2.0,4.0,1,1,1,0.6666666666666666
42,3.0,1111085350,2.5,6.25,1,1,1,0.8333333333333334
