AVG_PRICE_VALUE,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE,PRED_SALES
2.5,1111085319,1.5,2.25,1,1,1,0.6,21.5
2.5,1111085319,2.0,4.0,1,1,1,0.8,18.2
2.5,1111085319,2.5,6.25,1,1,1,1.0,0.0
2.5,1111085319,3.0,9.0,1,1,1,1.2,0.0
2.5,1111085319,3.5,12.25,1,1,1,1.4,0.0
2.5,1111085319,4.0,16.0,1,1,1,1.6,0.0
2.5,1111085319,4.5,20.25,1,1,1,1.8,0.0
2.5,1111085319,5.0,25.0,1,1,1,2.0,0.0
3.0,1111085319,1.5,2.25,1,1,1,0.5,23.8
3.0,1111085319,2.0,4.0,1,1,1,0.6666666666666666,21.2
3.0,1111085319,2.5,6.25,1,1,1,0.8333333333333334,0.0
3.0,1111085319,3.0,9.0,1,1,1,1.0,0.0
3.0,1111085319,3.5,12.25,1,1,1,1.1666666666666667,0.0
3.0,1111085319,4.0,16.0,1,1,1,1.3333333333333333,0.0
3.0,1111085319,4.5,20.25,1,1,1,1.5,0.0
3.0,1111085319,5.0,25.0,1,1,1,1.6666666666666667,0.0
3.5,1111085319,1.5,2.25,1,1,1,0.4285714285714285,25.5
3.5,1111085319,2.0,4.0,1,1,1,0.5714285714285714,23.4
3.5,1111085319,2.5,6.25,1,1,1,0.7142857142857143,0.0
3.5,1111085319,3.0,9.0,1,1,1,0.8571428571428571,0.0
3.5,1111085319,3.5,12.25,1,1,1,1.0,0.0
3.5,1111085319,4.0,16.0,1,1,1,1.1428571428571428,0.0
3.5,1111085319,4.5,20.25,1,1,1,1.2857142857142858,0.0
3.5,1111085319,5.0,25.0,1,1,1,1.4285714285714286,0.0
2.5,1111085350,1.5,2.25,1,1,1,0.6,51.9
2.5,1111085350,2.0,4.0,1,1,1,0.8,42.9
2.5,1111085350,2.5,6.25,1,1,1,1.0,36.2
2.5,1111085350,3.0,9.0,1,1,1,1.2,31.6
2.5,1111085350,3.5,12.25,1,1,1,1.4,29.2
2.5,1111085350,4.0,16.0,1,1,1,1.6,29.0
2.5,1111085350,4.5,20.25,1,1,1,1.8,31.0
2.5,1111085350,5.0,25.0,1,1,1,2.0,35.2
3.0,1111085350,1.5,2.25,1,1,1,0.5,51.6
3.0,1111085350,2.0,4.0,1,1,1,0.6666666666666666,42.5
3.0,1111085350,2.5,6.25,1,1,1,0.8333333333333334,35.6
3.0,1111085350,3.0,9.0,1,1,1,1.0,30.9
3.0,1111085350,3.5,12.25,1,1,1,1.1666666666666667,28.5
3.0,1111085350,4.0,16.0,1,1,1,1.3333333333333333,28.2
3.0,1111085350,4.5,20.25,1,1,1,1.5,30.0
3.0,1111085350,5.0,25.0,1,1,1,1.6666666666666667,34.1
3.5,1111085350,1.5,2.25,1,1,1,0.4285714285714285,51.3
