,Unnamed: 0,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE,predictSales
0,0,2.5,1111085319,1.5,2.25,1,1,1,0.6,21.5
1,1,2.5,1111085319,2.0,4.0,1,1,1,0.8,18.2
2,2,2.5,1111085319,2.5,6.25,1,1,1,1.0,0.0
3,3,2.5,1111085319,3.0,9.0,1,1,1,1.2,0.0
4,4,2.5,1111085319,3.5,12.25,1,1,1,1.4,0.0
5,5,2.5,1111085319,4.0,16.0,1,1,1,1.6,0.0
6,6,2.5,1111085319,4.5,20.25,1,1,1,1.8,0.0
7,7,2.5,1111085319,5.0,25.0,1,1,1,2.0,0.0
8,8,3.0,1111085319,1.5,2.25,1,1,1,0.5,23.8
9,9,3.0,1111085319,2.0,4.0,1,1,1,0.6666666666666666,21.2
10,10,3.0,1111085319,2.5,6.25,1,1,1,0.8333333333333334,0.0
11,11,3.0,1111085319,3.0,9.0,1,1,1,1.0,0.0
12,12,3.0,1111085319,3.5,12.25,1,1,1,1.1666666666666667,0.0
13,13,3.0,1111085319,4.0,16.0,1,1,1,1.3333333333333333,0.0
14,14,3.0,1111085319,4.5,20.25,1,1,1,1.5,0.0
15,15,3.0,1111085319,5.0,25.0,1,1,1,1.6666666666666667,0.0
16,16,3.25,1111085319,1.5,2.25,1,1,1,0.4615384615384616,24.7
17,17,3.25,1111085319,2.0,4.0,1,1,1,0.6153846153846154,22.4
18,18,3.25,1111085319,2.5,6.25,1,1,1,0.7692307692307693,0.0
19,19,3.25,1111085319,3.0,9.0,1,1,1,0.9230769230769232,0.0
20,20,3.25,1111085319,3.5,12.25,1,1,1,1.0769230769230769,0.0
21,21,3.25,1111085319,4.0,16.0,1,1,1,1.2307692307692308,0.0
22,22,3.25,1111085319,4.5,20.25,1,1,1,1.3846153846153846,0.0
23,23,3.25,1111085319,5.0,25.0,1,1,1,1.5384615384615383,0.0
24,24,3.5,1111085319,1.5,2.25,1,1,1,0.42857142857142855,25.5
25,25,3.5,1111085319,2.0,4.0,1,1,1,0.5714285714285714,23.4
26,26,3.5,1111085319,2.5,6.25,1,1,1,0.7142857142857143,0.0
27,27,3.5,1111085319,3.0,9.0,1,1,1,0.8571428571428571,0.0
28,28,3.5,1111085319,3.5,12.25,1,1,1,1.0,0.0
29,29,3.5,1111085319,4.0,16.0,1,1,1,1.1428571428571428,0.0
30,30,3.5,1111085319,4.5,20.25,1,1,1,1.2857142857142858,0.0
31,31,3.5,1111085319,5.0,25.0,1,1,1,1.4285714285714286,0.0
32,32,2.5,1111085350,1.5,2.25,1,1,1,0.6,51.9
33,33,2.5,1111085350,2.0,4.0,1,1,1,0.8,42.9
34,34,2.5,1111085350,2.5,6.25,1,1,1,1.0,36.2
35,35,2.5,1111085350,3.0,9.0,1,1,1,1.2,31.6
36,36,2.5,1111085350,3.5,12.25,1,1,1,1.4,29.2
37,37,2.5,1111085350,4.0,16.0,1,1,1,1.6,29.0
38,38,2.5,1111085350,4.5,20.25,1,1,1,1.8,31.0
39,39,2.5,1111085350,5.0,25.0,1,1,1,2.0,35.2
40,40,3.0,1111085350,1.5,2.25,1,1,1,0.5,51.6
41,41,3.0,1111085350,2.0,4.0,1,1,1,0.6666666666666666,42.5
42,42,3.0,1111085350,2.5,6.25,1,1,1,0.8333333333333334,35.6
43,43,3.0,1111085350,3.0,9.0,1,1,1,1.0,30.9
44,44,3.0,1111085350,3.5,12.25,1,1,1,1.1666666666666667,28.5
45,45,3.0,1111085350,4.0,16.0,1,1,1,1.3333333333333333,28.2
46,46,3.0,1111085350,4.5,20.25,1,1,1,1.5,30.0
47,47,3.0,1111085350,5.0,25.0,1,1,1,1.6666666666666667,34.1
48,48,3.25,1111085350,1.5,2.25,1,1,1,0.4615384615384616,51.4
49,49,3.25,1111085350,2.0,4.0,1,1,1,0.6153846153846154,42.3
50,50,3.25,1111085350,2.5,6.25,1,1,1,0.7692307692307693,35.4
51,51,3.25,1111085350,3.0,9.0,1,1,1,0.9230769230769232,30.7
52,52,3.25,1111085350,3.5,12.25,1,1,1,1.0769230769230769,28.2
53,53,3.25,1111085350,4.0,16.0,1,1,1,1.2307692307692308,27.8
54,54,3.25,1111085350,4.5,20.25,1,1,1,1.3846153846153846,29.7
55,55,3.25,1111085350,5.0,25.0,1,1,1,1.5384615384615383,33.7
56,56,3.5,1111085350,1.5,2.25,1,1,1,0.42857142857142855,51.3
57,57,3.5,1111085350,2.0,4.0,1,1,1,0.5714285714285714,42.2
58,58,3.5,1111085350,2.5,6.25,1,1,1,0.7142857142857143,35.3
59,59,3.5,1111085350,3.0,9.0,1,1,1,0.8571428571428571,30.5
60,60,3.5,1111085350,3.5,12.25,1,1,1,1.0,27.9
61,61,3.5,1111085350,4.0,16.0,1,1,1,1.1428571428571428,27.5
62,62,3.5,1111085350,4.5,20.25,1,1,1,1.2857142857142858,29.4
63,63,3.5,1111085350,5.0,25.0,1,1,1,1.4285714285714286,33.4
64,64,2.5,1600027527,1.5,2.25,1,1,1,0.6,127.3
65,65,2.5,1600027527,2.0,4.0,1,1,1,0.8,93.7
66,66,2.5,1600027527,2.5,6.25,1,1,1,1.0,74.1
67,67,2.5,1600027527,3.0,9.0,1,1,1,1.2,68.3
68,68,2.5,1600027527,3.5,12.25,1,1,1,1.4,76.4
69,69,2.5,1600027527,4.0,16.0,1,1,1,1.6,98.3
70,70,2.5,1600027527,4.5,20.25,1,1,1,1.8,134.2
71,71,2.5,1600027527,5.0,25.0,1,1,1,2.0,183.9
72,72,3.0,1600027527,1.5,2.25,1,1,1,0.5,123.0
73,73,3.0,1600027527,2.0,4.0,1,1,1,0.6666666666666666,88.0
74,74,3.0,1600027527,2.5,6.25,1,1,1,0.8333333333333334,67.0
75,75,3.0,1600027527,3.0,9.0,1,1,1,1.0,59.8
76,76,3.0,1600027527,3.5,12.25,1,1,1,1.1666666666666667,66.4
77,77,3.0,1600027527,4.0,16.0,1,1,1,1.3333333333333333,87.0
78,78,3.0,1600027527,4.5,20.25,1,1,1,1.5,121.4
79,79,3.0,1600027527,5.0,25.0,1,1,1,1.6666666666666667,169.7
80,80,3.25,1600027527,1.5,2.25,1,1,1,0.4615384615384616,121.4
81,81,3.25,1600027527,2.0,4.0,1,1,1,0.6153846153846154,85.9
82,82,3.25,1600027527,2.5,6.25,1,1,1,0.7692307692307693,64.2
83,83,3.25,1600027527,3.0,9.0,1,1,1,0.9230769230769232,56.5
84,84,3.25,1600027527,3.5,12.25,1,1,1,1.0769230769230769,62.6
85,85,3.25,1600027527,4.0,16.0,1,1,1,1.2307692307692308,82.6
86,86,3.25,1600027527,4.5,20.25,1,1,1,1.3846153846153846,116.5
87,87,3.25,1600027527,5.0,25.0,1,1,1,1.5384615384615383,164.2
88,88,3.5,1600027527,1.5,2.25,1,1,1,0.42857142857142855,120.0
89,89,3.5,1600027527,2.0,4.0,1,1,1,0.5714285714285714,84.0
90,90,3.5,1600027527,2.5,6.25,1,1,1,0.7142857142857143,61.9
91,91,3.5,1600027527,3.0,9.0,1,1,1,0.8571428571428571,53.7
92,92,3.5,1600027527,3.5,12.25,1,1,1,1.0,59.3
93,93,3.5,1600027527,4.0,16.0,1,1,1,1.1428571428571428,78.9
94,94,3.5,1600027527,4.5,20.25,1,1,1,1.2857142857142858,112.3
95,95,3.5,1600027527,5.0,25.0,1,1,1,1.4285714285714286,159.6
96,96,2.5,1600027528,1.5,2.25,1,1,1,0.6,177.5
97,97,2.5,1600027528,2.0,4.0,1,1,1,0.8,134.7
98,98,2.5,1600027528,2.5,6.25,1,1,1,1.0,99.1
99,99,2.5,1600027528,3.0,9.0,1,1,1,1.2,70.7
100,100,2.5,1600027528,3.5,12.25,1,1,1,1.4,49.5
101,101,2.5,1600027528,4.0,16.0,1,1,1,1.6,35.5
102,102,2.5,1600027528,4.5,20.25,1,1,1,1.8,28.8
103,103,2.5,1600027528,5.0,25.0,1,1,1,2.0,29.2
104,104,3.0,1600027528,1.5,2.25,1,1,1,0.5,179.2
105,105,3.0,1600027528,2.0,4.0,1,1,1,0.6666666666666666,136.9
106,106,3.0,1600027528,2.5,6.25,1,1,1,0.8333333333333334,101.9
107,107,3.0,1600027528,3.0,9.0,1,1,1,1.0,74.0
108,108,3.0,1600027528,3.5,12.25,1,1,1,1.1666666666666667,53.4
109,109,3.0,1600027528,4.0,16.0,1,1,1,1.3333333333333333,40.0
110,110,3.0,1600027528,4.5,20.25,1,1,1,1.5,33.8
111,111,3.0,1600027528,5.0,25.0,1,1,1,1.6666666666666667,34.8
