WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,DESCRIPTION,CATEGORY,SUB_CATEGORY
2009-01-14,367,1111085319,14,13,13,26.32,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-14,367,1111085350,35,27,25,69.3,1.98,1.98,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-01-14,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-14,367,1600027528,31,26,19,142.29,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-14,367,1600027564,56,48,42,152.32,2.72,3.07,1,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-14,367,3000006340,19,17,17,38.76,2.04,2.74,0,0,1,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
2009-01-14,367,3800031829,14,11,3,43.96,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,1111085319,12,12,12,22.68,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,1111085350,33,25,25,66,2,2,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,1600027527,7,7,7,22.33,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,1600027528,24,19,11,110.16,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,1600027564,36,23,23,96.48,2.68,3.07,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,3000006340,9,8,7,23.22,2.58,2.58,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
2009-01-21,367,3800031829,17,13,6,53.38,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,1111085319,18,17,16,33.66,1.87,1.87,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,1111085350,30,21,20,60.3,2.01,2.01,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,1600027527,9,9,9,28.71,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,1600027528,27,21,7,123.93,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,1600027564,20,20,15,63.8,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,3000006340,3,3,2,8.22,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
2009-01-28,367,3800031829,23,19,8,72.22,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,1111085319,13,13,13,24.44,1.88,1.88,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,1111085350,38,31,30,75.62,1.99,1.99,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,1600027527,18,17,16,57.42,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,1600027528,28,24,13,128.52,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,1600027564,16,14,10,51.04,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,3000006340,5,5,2,13.7,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
2009-02-04,367,3800031829,25,23,10,78.5,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,1111085319,16,16,16,29.92,1.87,1.87,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,1111085350,38,27,26,74.86,1.97,1.97,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,1600027527,243,187,179,403.38,1.66,3.19,1,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,1600027528,101,84,69,288.86,2.86,4.59,0,1,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,1600027564,13,12,12,22.36,1.72,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,3000006340,8,8,6,21.92,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
2009-02-11,367,3800031829,23,19,11,72.22,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,1111085319,9,5,5,14.49,1.61,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,1111085350,15,14,14,35.85,2.39,2.39,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,1600027527,146,117,115,245.28,1.68,3.19,0,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,1600027528,55,44,40,146.85,2.67,4.59,0,1,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,1600027564,19,19,19,28.69,1.51,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,3000006340,5,5,5,13.7,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
2009-02-18,367,3800031829,16,13,6,50.24,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-25,367,1111085319,22,20,20,36.52,1.66,1.87,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-25,367,1111085350,17,14,14,40.12,2.36,2.36,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
2009-02-25,367,1600027527,131,105,103,217.46,1.66,3.19,1,1,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-25,367,1600027528,27,24,12,123.93,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
2009-02-25,367,1600027564,24,22,20,63.84,2.66,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
